COD;COUNTRY;YEAR;IDH;IDHr;INBpc;CONTCORR;EGOB;ESTPOL;CALIREG;RJUE;VOZYREND;GasSocial;IDEM;IPC;ILIB;IGINIGM;IGINICEPAL
ARG;Argentina;2007;0.806;0.819;21867;-0.34;-0.02;0.10;-0.67;-0.59;0.45;9.0;66.3;29.000;2;45.8;0.437
ARG;Argentina;2008;0.81;0.823;22551;-0.44;-0.15;-0.09;-0.74;-0.68;0.36;9.1;66.3;29.000;2;44.9;0.413
ARG;Argentina;2009;0.81;0.829;20877;-0.44;-0.32;-0.23;-0.85;-0.68;0.28;11.2;67.35;29.000;2;44;0.413
ARG;Argentina;2010;0.818;0.834;22727;-0.36;-0.16;-0.08;-0.76;-0.59;0.36;11.1;68.4;29.000;2;43;0.412
ARG;Argentina;2011;0.823;0.838;23947;-0.37;-0.12;0.16;-0.72;-0.56;0.34;11.3;68.4;30.000;2;42.3;0.406
ARG;Argentina;2012;0.823;0.838;23516;-0.44;-0.24;0.10;-0.93;-0.68;0.30;12.1;68.4;35.000;2;41.8;0.389
ARG;Argentina;2013;0.824;0.840;23852;-0.43;-0.28;0.07;-0.96;-0.71;0.28;13.0;68.4;34.000;2;41.6;0.389
ARG;Argentina;2014;0.825;0.843;23048;-0.54;-0.16;-0.01;-1.07;-0.89;0.35;13.0;68.4;34.000;2;41.6;0.391
ARG;Argentina;2015;0.828;0.847;23466;-0.55;-0.08;0.01;-0.91;-0.77;0.41;14.1;70.2;32.000;2;41.8;0.392
ARG;Argentina;2016;0.828;0.849;22697;-0.28;0.16;0.20;-0.47;-0.39;0.49;14.2;69.6;36.000;2;42.1;0.393
ARG;Argentina;2017;0.832;0.854;22962;-0.26;0.15;0.17;-0.29;-0.25;0.53;14.6;69.6;39.000;2;42.3;0.388
ARG;Argentina;2018;0.83;0.856;21918;-0.07;0.03;0.02;-0.29;-0.24;0.56;13.5;70.2;40.000;2;42.4;0.396
BOL;Bolivia (Plurinational State of);2007;0.638;0.667;5847;-0.40;-0.57;-0.85;-0.98;-0.83;0.04;11.7;60.65;29.000;3;54;0.586
BOL;Bolivia (Plurinational State of);2008;0.647;0.678;6133;-0.52;-0.62;-0.70;-0.87;-0.97;0.00;11.5;61.5;30.000;3;51.8;0.513
BOL;Bolivia (Plurinational State of);2009;0.651;0.683;6199;-0.63;-0.60;-0.51;-0.88;-1.11;0.01;13.0;60.35;27.000;3;49.7;0.511
BOL;Bolivia (Plurinational State of);2010;0.656;0.689;6301;-0.47;-0.50;-0.42;-0.80;-1.02;-0.04;12.3;59.2;28.000;3;48.1;0.491
BOL;Bolivia (Plurinational State of);2011;0.66;0.692;6481;-0.57;-0.47;-0.42;-0.76;-0.98;-0.07;11.2;58.4;27.6;3;47.4;0.471
BOL;Bolivia (Plurinational State of);2012;0.663;0.697;6608;-0.73;-0.37;-0.46;-0.82;-1.02;-0.08;11.0;58.4;34.000;3;47.1;0.474
BOL;Bolivia (Plurinational State of);2013;0.673;0.707;6937;-0.59;-0.39;-0.33;-0.78;-1.05;-0.07;10.9;57.9;34.000;3;47;0.480
BOL;Bolivia (Plurinational State of);2014;0.678;0.712;7314;-0.63;-0.59;-0.33;-0.87;-1.06;-0.03;11.6;57.9;35.000;3;46.7;0.471
