COD;COUNTRY;YEAR;IDH;IDHr;INBpc;CONTCORR;EGOB;ESTPOL;CALIREG;RJUE;VOZYREND;GasSocial;IDEM;IPC;ILIB;IGINIGM;IGINICEPAL;RJUEd;GasSociald
ARG;Argentina;2007;0.806;0.819;21867;-0.34;-0.02;0.1;-0.67;-0.59;0.45;9;66.3;29;2;45.8;0.437;-0.02;0.6
ARG;Argentina;2008;0.81;0.823;22551;-0.44;-0.15;-0.09;-0.74;-0.68;0.36;9.1;66.3;29;2;44.9;0.413;-0.09;0.1
ARG;Argentina;2009;0.81;0.829;20877;-0.44;-0.32;-0.23;-0.85;-0.68;0.28;11.2;67.35;29;2;44;0.413;0;2.1
ARG;Argentina;2010;0.818;0.834;22727;-0.36;-0.16;-0.08;-0.76;-0.59;0.36;11.1;68.4;29;2;43;0.412;0.09;-0.1
ARG;Argentina;2011;0.823;0.838;23947;-0.37;-0.12;0.16;-0.72;-0.56;0.34;11.3;68.4;30;2;42.3;0.406;0.03;0.2
ARG;Argentina;2012;0.823;0.838;23516;-0.44;-0.24;0.1;-0.93;-0.68;0.3;12.1;68.4;35;2;41.8;0.389;-0.12;0.8
ARG;Argentina;2013;0.824;0.84;23852;-0.43;-0.28;0.07;-0.96;-0.71;0.28;13;68.4;34;2;41.6;0.389;-0.03;0.9
ARG;Argentina;2014;0.825;0.843;23048;-0.54;-0.16;-0.01;-1.07;-0.89;0.35;13;68.4;34;2;41.6;0.391;-0.18;0
ARG;Argentina;2015;0.828;0.847;23466;-0.55;-0.08;0.01;-0.91;-0.77;0.41;14.1;70.2;32;2;41.8;0.392;0.12;1.1
ARG;Argentina;2016;0.828;0.849;22697;-0.28;0.16;0.2;-0.47;-0.39;0.49;14.2;69.6;36;2;42.1;0.393;0.38;0.1
ARG;Argentina;2017;0.832;0.854;22962;-0.26;0.15;0.17;-0.29;-0.25;0.53;14.6;69.6;39;2;42.3;0.388;0.14;0.4
ARG;Argentina;2018;0.83;0.856;21918;-0.07;0.03;0.02;-0.29;-0.24;0.56;13.5;70.2;40;2;42.4;0.396;0.01;-1.1
BOL;Bolivia (Plurinational State of);2007;0.638;0.667;5847;-0.4;-0.57;-0.85;-0.98;-0.83;0.04;11.7;60.65;29;3;54;0.586;0.02;-0.1
BOL;Bolivia (Plurinational State of);2008;0.647;0.678;6133;-0.52;-0.62;-0.7;-0.87;-0.97;0;11.5;61.5;30;3;51.8;0.513;-0.14;-0.2
BOL;Bolivia (Plurinational State of);2009;0.651;0.683;6199;-0.63;-0.6;-0.51;-0.88;-1.11;0.01;13;60.35;27;3;49.7;0.511;-0.14;1.5
BOL;Bolivia (Plurinational State of);2010;0.656;0.689;6301;-0.47;-0.5;-0.42;-0.8;-1.02;-0.04;12.3;59.2;28;3;48.1;0.491;0.09;-0.7
BOL;Bolivia (Plurinational State of);2011;0.66;0.692;6481;-0.57;-0.47;-0.42;-0.76;-0.98;-0.07;11.2;58.4;27.6;3;47.4;0.471;0.04;-1.1
BOL;Bolivia (Plurinational State of);2012;0.663;0.697;6608;-0.73;-0.37;-0.46;-0.82;-1.02;-0.08;11;58.4;34;3;47.1;0.474;-0.04;-0.2
BOL;Bolivia (Plurinational State of);2013;0.673;0.707;6937;-0.59;-0.39;-0.33;-0.78;-1.05;-0.07;10.9;57.9;34;3;47;0.48;-0.03;-0.1
BOL;Bolivia (Plurinational State of);2014;0.678;0.712;7314;-0.63;-0.59;-0.33;-0.87;-1.06;-0.03;11.6;57.9;35;3;46.7;0.471;-0.01;0.7
BOL;Bolivia (Plurinational State of);2015;0.685;0.717;7718;-0.7;-0.65;-0.27;-0.89;-1.14;0;12.5;57.5;34;3;46.3;0.454;-0.08;0.9
BOL;Bolivia (Plurinational State of);2016;0.692;0.725;8057;-0.72;-0.57;-0.25;-0.92;-1.2;-0.04;12.6;56.3;33;3;45.7;0.466;-0.06;0.1
BOL;Bolivia (Plurinational State of);2017;0.7;0.735;8186;-0.66;-0.38;-0.28;-0.9;-1.21;-0.02;12.7;54.9;33;3;45.1;0.461;-0.01;0.1
BOL;Bolivia (Plurinational State of);2018;0.703;0.737;8445;-0.62;-0.32;-0.28;-0.91;-1.15;-0.04;12.7;57;29;3;44.6;0.438;0.06;0
BRA;Brazil;2007;0.705;0.69;13280;-0.08;-0.21;-0.36;-0.03;-0.37;0.54;14.3;73.8;35;2;54.9;0.543;0;-0.1
BRA;Brazil;2008;0.716;0.704;13774;0.01;-0.09;-0.31;0.05;-0.32;0.57;14;73.8;35;2;54.3;0.536;0.05;-0.3
BRA;Brazil;2009;0.718;0.707;13649;-0.07;-0.09;0.17;0.1;-0.16;0.52;15.2;72.5;37;2;53.8;0.533;0.16;1.2
BRA;Brazil;2010;0.726;0.715;14409;0.05;-0.04;0.01;0.15;0.04;0.57;15;71.2;37;2;53.3;0.5295;0.2;-0.2
