COD;COUNTRY;YEAR;IDH;IDHr;INBpc;CONTCORR;EGOB;ESTPOL;CALIREG;RJUE;VOZYREND;GasSocial;IDEM;IPC;ILIB;IGINIGM;IGINICEPAL;RJUEd;GasSociald;LGasSocial;LLIB;CONTCORRp;EGOBp;ESTPOLp;CALIREGp;RJUEp;VOZYRENDp;LCONTCORRp;LEGOBp;LESTPOLp;LCALIREGp;LRJUEp;LVOZYRENDp;CONTCORRpd;EGOBpd;ESTPOLpd;CALIREGpd;RJUEpd;VOZYRENDpd
ARG;Argentina;2007;0.806;0.819;21867;-0.34;-0.02;0.1;-0.67;-0.59;0.45;9;66.3;29;2;45.8;0.437;-0.02;0.6;0.954242509;0.301029996;45.15;53.4;46.86;25.73;34.45;58.65;1.6547;1.7275;1.6708;1.4104;1.5372;1.7683;2.2200;-1.7200;0.9700;-0.7400;0.0000;0.4800
ARG;Argentina;2008;0.81;0.823;22551;-0.44;-0.15;-0.09;-0.74;-0.68;0.36;9.1;66.3;29;2;44.9;0.413;-0.09;0.1;0.959041392;0.301029996;39.32;50.49;40.87;23.3;27.88;58.17;1.5946;1.7032;1.6114;1.3674;1.4454;1.7647;-5.8300;-2.9100;-5.9900;-2.4300;-6.5651;-0.4800
ARG;Argentina;2009;0.81;0.829;20877;-0.44;-0.32;-0.23;-0.85;-0.68;0.28;11.2;67.35;29;2;44;0.413;0;2.1;1.049218023;0.301029996;39.71;45.93;36.97;22.49;30.81;56.4;1.5989;1.6621;1.5678;1.3520;1.4886;1.7513;0.3900;-4.5600;-3.9000;-0.8100;2.9211;-1.7700
ARG;Argentina;2010;0.818;0.834;22727;-0.36;-0.16;-0.08;-0.76;-0.59;0.36;11.1;68.4;29;2;43;0.412;0.09;-0.1;1.045322979;0.301029996;43.33;49.28;42.65;23.92;33.18;58.29;1.6368;1.6927;1.6299;1.3788;1.5208;1.7656;3.6200;3.3500;5.6800;1.4300;2.3697;1.8900
ARG;Argentina;2011;0.823;0.838;23947;-0.37;-0.12;0.16;-0.72;-0.56;0.34;11.3;68.4;30;2;42.3;0.406;0.03;0.2;1.053078443;0.301029996;44.08;49.76;52.13;25.59;33.33;58.22;1.6442;1.6969;1.7171;1.4081;1.5229;1.7651;0.7500;0.4800;9.4800;1.6700;0.1580;-0.0700
ARG;Argentina;2012;0.823;0.838;23516;-0.44;-0.24;0.1;-0.93;-0.68;0.3;12.1;68.4;35;2;41.8;0.389;-0.12;0.8;1.08278537;0.301029996;39.34;46.92;49.29;20.85;30.99;57.28;1.5948;1.6714;1.6928;1.3191;1.4912;1.7580;-4.7400;-2.8400;-2.8400;-4.7400;-2.3474;-0.9400
ARG;Argentina;2013;0.824;0.84;23852;-0.43;-0.28;0.07;-0.96;-0.71;0.28;13;68.4;34;2;41.6;0.389;-0.03;0.9;1.113943352;0.301029996;40.28;45.97;48.34;18.01;29.58;56.81;1.6051;1.6625;1.6843;1.2555;1.4710;1.7544;0.9400;-0.9500;-0.9500;-2.8400;-1.4085;-0.4700
ARG;Argentina;2014;0.825;0.843;23048;-0.54;-0.16;-0.01;-1.07;-0.89;0.35;13;68.4;34;2;41.6;0.391;-0.18;0;1.113943352;0.301029996;35.1;46.63;45.71;12.5;18.75;59.11;1.5453;1.6687;1.6600;1.0969;1.2730;1.7717;-5.1800;0.6600;-2.6300;-5.5100;-10.8275;2.3000
ARG;Argentina;2015;0.828;0.847;23466;-0.55;-0.08;0.01;-0.91;-0.77;0.41;14.1;70.2;32;2;41.8;0.392;0.12;1.1;1.149219113;0.301029996;33.65;50;46.19;17.31;24.04;60.1;1.5270;1.6990;1.6645;1.2383;1.3809;1.7789;-1.4500;3.3700;0.4800;4.8100;5.2885;0.9900
ARG;Argentina;2016;0.828;0.849;22697;-0.28;0.16;0.2;-0.47;-0.39;0.49;14.2;69.6;36;2;42.1;0.393;0.38;0.1;1.152288344;0.301029996;47.12;60.1;52.86;33.65;37.50;63.55;1.6732;1.7789;1.7231;1.5270;1.5740;1.8031;13.4700;10.1000;6.6700;16.3400;13.4615;3.4500
