,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Cuba,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Republica Dominicana,Uruguay,Venezuela,Estados árabe,Asia oriental y el Pacífico,Europa y Asia Central,Latinoamerica y el caribe,Asia del Sur,Africa Sub-sahariana,Países menos desarrollados,Small Island Developing States,Organización para la Cooperación Económica y el Desarrollo,Mundo
1990,0.718,0.551,0.613,0.706,0.603,0.665,0.68,0.648,0.536,0.48100000000000004,0.519,0.6559999999999999,0.49700000000000005,0.675,0.598,0.613,0.599,0.6940000000000001,0.644,0.556,0.519,0.652,0.628,0.441,0.402,0.35,0.595,0.785,0.598
1991,0.725,0.5589999999999999,0.621,0.715,0.606,0.672,0.674,0.65,0.54,0.48700000000000004,0.518,0.66,0.506,0.68,0.604,0.62,0.603,0.6990000000000001,0.654,0.5589999999999999,0.525,0.65,0.634,0.447,0.40399999999999997,0.353,0.598,0.79,0.601
1992,0.73,0.5660000000000001,0.627,0.722,0.617,0.68,0.667,0.654,0.552,0.493,0.523,0.664,0.513,0.688,0.608,0.62,0.612,0.7020000000000001,0.66,0.565,0.534,0.6459999999999999,0.639,0.45399999999999996,0.40399999999999997,0.354,0.603,0.7879999999999999,0.601
1993,0.735,0.573,0.635,0.715,0.624,0.687,0.66,0.6579999999999999,0.562,0.499,0.53,0.6679999999999999,0.516,0.696,0.615,0.625,0.619,0.705,0.662,0.5710000000000001,0.542,0.643,0.644,0.46,0.406,0.358,0.608,0.8,0.608
1994,0.7390000000000001,0.581,0.642,0.72,0.631,0.6920000000000001,0.6559999999999999,0.6629999999999999,0.5710000000000001,0.504,0.534,0.675,0.521,0.6990000000000001,0.62,0.636,0.624,0.711,0.662,0.5760000000000001,0.5489999999999999,0.638,0.65,0.466,0.40700000000000003,0.358,0.612,0.807,0.611
1995,0.741,0.589,0.6509999999999999,0.728,0.637,0.6970000000000001,0.659,0.6659999999999999,0.58,0.511,0.54,0.677,0.531,0.7040000000000001,0.625,0.6459999999999999,0.63,0.7120000000000001,0.6659999999999999,0.581,0.5589999999999999,0.642,0.6559999999999999,0.473,0.41100000000000003,0.366,0.618,0.812,0.617
1996,0.748,0.595,0.6579999999999999,0.735,0.647,0.701,0.669,0.6679999999999999,0.588,0.518,0.545,0.6829999999999999,0.541,0.71,0.632,0.6509999999999999,0.636,0.718,0.6679999999999999,0.5870000000000001,0.568,0.6459999999999999,0.662,0.48,0.415,0.374,0.624,0.8170000000000001,0.622
1997,0.757,0.598,0.665,0.742,0.655,0.7070000000000001,0.6729999999999999,0.672,0.597,0.526,0.551,0.6890000000000001,0.55,0.716,0.637,0.657,0.643,0.7290000000000001,0.67,0.594,0.5760000000000001,0.6509999999999999,0.669,0.486,0.418,0.381,0.629,0.8170000000000001,0.624
1998,0.763,0.61,0.67,0.743,0.662,0.713,0.677,0.675,0.606,0.534,0.556,0.695,0.5589999999999999,0.7240000000000001,0.6409999999999999,0.667,0.648,0.737,0.672,0.599,0.581,0.657,0.675,0.49200000000000005,0.42200000000000004,0.38799999999999996,0.632,0.826,0.631
1999,0.774,0.619,0.6759999999999999,0.75,0.662,0.7170000000000001,0.684,0.6729999999999999,0.608,0.542,0.56,0.6990000000000001,0.568,0.7290000000000001,0.644,0.677,0.654,0.7390000000000001,0.674,0.607,0.589,0.66,0.68,0.499,0.425,0.39399999999999996,0.638,0.831,0.636
2000,0.7809999999999999,0.627,0.685,0.7559999999999999,0.6659999999999999,0.721,0.691,0.675,0.615,0.5489999999999999,0.5660000000000001,0.708,0.5770000000000001,0.735,0.643,0.679,0.659,0.743,0.6759999999999999,0.613,0.597,0.667,0.687,0.505,0.423,0.39899999999999997,0.642,0.8340000000000001,0.6409999999999999
2001,0.7859999999999999,0.63,0.691,0.767,0.6679999999999999,0.725,0.696,0.68,0.62,0.557,0.57,0.7120000000000001,0.583,0.738,0.652,0.687,0.6629999999999999,0.747,0.684,0.62,0.604,0.672,0.6920000000000001,0.51,0.426,0.40700000000000003,0.645,0.8390000000000001,0.6459999999999999
2002,0.7809999999999999,0.637,0.6990000000000001,0.769,0.6709999999999999,0.728,0.698,0.684,0.627,0.563,0.575,0.718,0.589,0.7440000000000001,0.662,0.688,0.6679999999999999,0.7490000000000001,0.6920000000000001,0.624,0.613,0.6809999999999999,0.696,0.516,0.434,0.415,0.649,0.843,0.6509999999999999
2003,0.7859999999999999,0.64,0.695,0.7759999999999999,0.67,0.731,0.708,0.687,0.633,0.5670000000000001,0.58,0.722,0.5920000000000001,0.746,0.66,0.687,0.669,0.752,0.6920000000000001,0.63,0.623,0.688,0.6970000000000001,0.527,0.444,0.42200000000000004,0.655,0.848,0.657
2004,0.787,0.6409999999999999,0.698,0.785,0.684,0.735,0.722,0.693,0.639,0.5710000000000001,0.586,0.731,0.597,0.7509999999999999,0.667,0.6940000000000001,0.672,0.755,0.7040000000000001,0.64,0.632,0.695,0.703,0.536,0.451,0.43,0.662,0.852,0.6629999999999999
2005,0.7879999999999999,0.643,0.7,0.7909999999999999,0.6890000000000001,0.738,0.7340000000000001,0.698,0.6459999999999999,0.574,0.593,0.737,0.601,0.754,0.67,0.6990000000000001,0.6809999999999999,0.758,0.718,0.647,0.6409999999999999,0.703,0.7070000000000001,0.544,0.45899999999999996,0.439,0.6679999999999999,0.856,0.669
2006,0.812,0.649,0.7020000000000001,0.7909999999999999,0.698,0.745,0.7559999999999999,0.701,0.653,0.583,0.599,0.745,0.605,0.759,0.67,0.6970000000000001,0.688,0.763,0.731,0.653,0.652,0.7120000000000001,0.713,0.5539999999999999,0.469,0.44799999999999995,0.6779999999999999,0.86,0.6759999999999999
2007,0.8170000000000001,0.649,0.706,0.804,0.711,0.753,0.772,0.71,0.652,0.5920000000000001,0.607,0.746,0.611,0.767,0.675,0.7040000000000001,0.6940000000000001,0.765,0.748,0.6609999999999999,0.664,0.718,0.7190000000000001,0.563,0.47700000000000004,0.45799999999999996,0.687,0.8640000000000001,0.682
2008,0.821,0.6579999999999999,0.7170000000000001,0.8140000000000001,0.718,0.7609999999999999,0.7829999999999999,0.7170000000000001,0.655,0.597,0.603,0.748,0.616,0.7709999999999999,0.684,0.715,0.698,0.769,0.757,0.667,0.672,0.723,0.726,0.569,0.486,0.467,0.6920000000000001,0.867,0.688
2009,0.821,0.6629999999999999,0.7190000000000001,0.8220000000000001,0.72,0.762,0.785,0.7190000000000001,0.6559999999999999,0.601,0.605,0.748,0.617,0.772,0.6809999999999999,0.718,0.7,0.775,0.7559999999999999,0.6709999999999999,0.6809999999999999,0.726,0.727,0.575,0.494,0.47700000000000004,0.6940000000000001,0.868,0.691
2010,0.8290000000000001,0.667,0.727,0.8029999999999999,0.7290000000000001,0.765,0.7809999999999999,0.726,0.6679999999999999,0.606,0.61,0.748,0.622,0.774,0.696,0.721,0.706,0.782,0.757,0.6759999999999999,0.691,0.735,0.731,0.585,0.498,0.485,0.7020000000000001,0.873,0.6970000000000001
