fecha	Argentina	Bolivia	Brasil	Chile	Colombia	Costa Rica	Cuba	Ecuador	El Salvador	Guatemala	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Republica Dominicana	Uruguay	Venezuela	Estados árabe	Asia oriental y el Pacífico	Europa y Asia Central	Latinoamerica y el caribe	Asia del Sur	Africa Sub-sahariana	Países menos desarrollados	Small Island Developing States	Organización para la Cooperación Económica y el Desarrollo	Mundo	fecha	Año
1990-01-01	13597,0	4352,0	10251,0	9130,0	8013,0	9115,0	5271,0	7643,0	5124,0	5417,0	3769,0	14500,0	26183,0	4267,0	2289,0	8210,0	5940,0	30456,0	3312,0	1866,0	10772,0	2205,0	11549,0	10301,0	2239,0	2763,0	1463,0	7608,0	29496,0	1990	1990
1991-01-01	14803,0	4515,0	10258,0	9692,0	8058,0	9278,0	4686,0	7900,0	5126,0	5550,0	3517,0	14917,0	24076,0	3891,0	2463,0	8131,0	5857,0	30046,0	3219,0	1923,0	10657,0	2348,0	10710,0	10557,0	2264,0	2712,0	1445,0	7571,0	29530,0	1991	1991
1992-01-01	15940,0	4546,0	10071,0	10689,0	8257,0	9896,0	4136,0	7993,0	5462,0	5654,0	3602,0	15181,0	24145,0	4651,0	2758,0	7979,0	6453,0	30163,0	2793,0	1738,0	10880,0	2551,0	9701,0	10699,0	2327,0	2547,0	1347,0	7797,0	29843,0	1992	1992
1993-01-01	17132,0	4641,0	10312,0	11279,0	8612,0	10344,0	3501,0	8054,0	5710,0	5745,0	3809,0	15249,0	25209,0	4908,0	3288,0	8118,0	6692,0	30811,0	2673,0	1749,0	10887,0	2776,0	8997,0	10932,0	2358,0	2477,0	1339,0	8078,0	29992,0	1993	1993
1994-01-01	17874,0	4782,0	10541,0	11546,0	9031,0	10681,0	3509,0	8244,0	5932,0	5832,0	3702,0	15716,0	26251,0	4510,0	3962,0	8185,0	6789,0	32019,0	2481,0	1813,0	10874,0	3027,0	7900,0	11196,0	2406,0	2430,0	1304,0	8477,0	30632,0	1994	1994
1995-01-01	17091,0	4902,0	11084,0	12444,0	9337,0	10802,0	3555,0	8277,0	6146,0	5967,0	3812,0	14287,0	27238,0	4643,0	3682,0	8358,0	7049,0	32671,0	2412,0	1782,0	10862,0	3237,0	7826,0	11155,0	2516,0	2489,0	1396,0	8820,0	31198,0	1995	1995
1996-01-01	17782,0	5024,0	11016,0	13170,0	9323,0	10725,0	3826,0	8217,0	6117,0	5974,0	3778,0	15067,0	27465,0	4453,0	3785,0	8798,0	7396,0	33418,0	2400,0	1964,0	11148,0	3475,0	7967,0	11370,0	2614,0	2535,0	1431,0	9173,0	31985,0	1996	1996
1997-01-01	18983,0	5184,0	11157,0	13976,0	9471,0	11048,0	3917,0	8427,0	6223,0	6096,0	3891,0	15983,0	28059,0	4939,0	3464,0	8671,0	7920,0	34662,0	2464,0	1948,0	11417,0	3669,0	8321,0	11765,0	2648,0	2580,0	1477,0	9579,0	32911,0	1997	1997
1998-01-01	19426,0	5368,0	10886,0	14500,0	9412,0	11424,0	3912,0	8490,0	6338,0	6277,0	3933,0	16555,0	28418,0	5678,0	3538,0	8477,0	8307,0	36004,0	2543,0	1909,0	11730,0	3639,0	8483,0	11834,0	2727,0	2576,0	1493,0	9498,0	33605,0	1998	1998
1999-01-01	18535,0	5262,0	10694,0	14185,0	8881,0	11415,0	4134,0	7743,0	6351,0	6354,0	3825,0	16822,0	29423,0	5988,0	3531,0	8168,0	8647,0	36877,0	2606,0	1869,0	11691,0	3806,0	8317,0	11644,0	2847,0	2563,0	1503,0	9855,0	34460,0	1999	1999
