	Argentina	Bolivia	Brasil	Chile	Colombia	Costa Rica	Cuba	Ecuador	El Salvador	Guatemala	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Republica Dominicana	Uruguay	Venezuela	Estados árabe	Asia oriental y el Pacífico	Europa y Asia Central	Latinoamerica y el caribe	Asia del Sur	Africa Sub-sahariana	Países menos desarrollados	Small Island Developing States	Organización para la Cooperación Económica y el Desarrollo	Mundo
1990	0,628	0,528	0,46299999999999997	0,626	0,433	0,505	0,624	0,551	0,382	0,284	0,355	0,48	0,349	0,5379999999999999	0,431	0,551	0,485	0,597	0,444	0,358	0,401	0,557	0,485	0,302	0,285	0,223	0,466	0,679	0,45
1991	0,632	0,537	0,475	0,638	0,43799999999999994	0,515	0,626	0,5489999999999999	0,384	0,289	0,35700000000000004	0,48100000000000004	0,366	0,5429999999999999	0,442	0,556	0,493	0,601	0,457	0,363	0,408	0,561	0,49200000000000005	0,309	0,29	0,228	0,47100000000000003	0,688	0,456
1992	0,634	0,546	0,48700000000000004	0,64	0,457	0,526	0,627	0,5529999999999999	0,396	0,294	0,36200000000000004	0,48700000000000004	0,375	0,552	0,451	0,555	0,501	0,597	0,466	0,37	0,41600000000000004	0,562	0,5	0,316	0,297	0,233	0,47700000000000004	0,6809999999999999	0,456
1993	0,636	0,555	0,499	0,613	0,466	0,534	0,633	0,557	0,408	0,3	0,36700000000000005	0,491	0,38299999999999995	0,562	0,46299999999999997	0,5579999999999999	0,509	0,601	0,47100000000000003	0,377	0,423	0,564	0,506	0,32299999999999995	0,304	0,239	0,483	0,7090000000000001	0,469
1994	0,639	0,565	0,511	0,62	0,474	0,542	0,619	0,561	0,42	0,304	0,374	0,5	0,39	0,565	0,47100000000000003	0,568	0,517	0,605	0,475	0,385	0,426	0,5660000000000001	0,514	0,33	0,31	0,244	0,485	0,72	0,474
1995	0,648	0,574	0,523	0,627	0,48	0,55	0,621	0,565	0,43200000000000005	0,311	0,381	0,512	0,39799999999999996	0,5770000000000001	0,48	0,581	0,525	0,609	0,48	0,39299999999999996	0,439	0,575	0,524	0,337	0,319	0,251	0,49200000000000005	0,7290000000000001	0,48200000000000004
1996	0,659	0,581	0,535	0,633	0,498	0,5589999999999999	0,636	0,5670000000000001	0,447	0,32	0,389	0,516	0,41	0,586	0,488	0,586	0,531	0,615	0,484	0,401	0,45	0,581	0,5329999999999999	0,344	0,326	0,259	0,5	0,735	0,49
1997	0,67	0,574	0,547	0,64	0,512	0,5670000000000001	0,64	0,57	0,46299999999999997	0,33	0,396	0,521	0,42200000000000004	0,596	0,499	0,59	0,537	0,629	0,48700000000000004	0,409	0,45799999999999996	0,5870000000000001	0,542	0,35200000000000004	0,332	0,268	0,506	0,728	0,49
1998	0,6809999999999999	0,594	0,5589999999999999	0,637	0,526	0,5760000000000001	0,647	0,5720000000000001	0,478	0,33899999999999997	0,40299999999999997	0,526	0,433	0,607	0,509	0,613	0,542	0,643	0,49200000000000005	0,414	0,469	0,596	0,5529999999999999	0,359	0,34	0,27699999999999997	0,512	0,747	0,503
1999	0,715	0,616	0,5720000000000001	0,653	0,529	0,584	0,655	0,575	0,479	0,349	0,41100000000000003	0,532	0,445	0,617	0,52	0,636	0,5479999999999999	0,648	0,502	0,42700000000000005	0,478	0,605	0,564	0,366	0,348	0,28800000000000003	0,519	0,753	0,511
2000	0,736	0,63	0,584	0,6609999999999999	0,534	0,593	0,6629999999999999	0,5770000000000001	0,493	0,358	0,418	0,544	0,457	0,627	0,524	0,636	0,5539999999999999	0,6609999999999999	0,503	0,436	0,48700000000000004	0,614	0,574	0,373	0,341	0,29100000000000004	0,522	0,755	0,516
2001	0,7559999999999999	0,631	0,597	0,684	0,537	0,597	0,67	0,581	0,502	0,368	0,426	0,5529999999999999	0,46799999999999997	0,637	0,546	0,655	0,56	0,674	0,518	0,446	0,495	0,624	0,585	0,37799999999999995	0,34299999999999997	0,301	0,529	0,763	0,522
2002	0,762	0,6409999999999999	0,61	0,685	0,54	0,601	0,6709999999999999	0,586	0,514	0,379	0,434	0,5660000000000001	0,479	0,645	0,568	0,6459999999999999	0,5660000000000001	0,685	0,5489999999999999	0,456	0,505	0,635	0,594	0,385	0,355	0,311	0,534	0,77	0,53
2003	0,7609999999999999	0,644	0,595	0,698	0,5329999999999999	0,605	0,693	0,59	0,528	0,382	0,442	0,5720000000000001	0,48200000000000004	0,6509999999999999	0,57	0,636	0,573	0,6970000000000001	0,556	0,465	0,517	0,643	0,593	0,401	0,37	0,319	0,5429999999999999	0,777	0,5379999999999999
2004	0,76	0,637	0,593	0,715	0,56	0,609	0,721	0,594	0,539	0,386	0,449	0,589	0,485	0,655	0,579	0,647	0,579	0,6970000000000001	0,569	0,478	0,526	0,647	0,598	0,41100000000000003	0,379	0,32799999999999996	0,555	0,782	0,546
2005	0,7509999999999999	0,631	0,593	0,722	0,565	0,613	0,736	0,598	0,551	0,39	0,457	0,604	0,488	0,6579999999999999	0,581	0,653	0,585	0,688	0,591	0,489	0,536	0,655	0,603	0,42100000000000004	0,387	0,33799999999999997	0,561	0,787	0,5529999999999999
2006	0,795	0,635	0,589	0,7190000000000001	0,5770000000000001	0,619	0,78	0,6	0,561	0,40299999999999997	0,465	0,62	0,491	0,6609999999999999	0,569	0,635	0,59	0,693	0,611	0,494	0,5489999999999999	0,664	0,61	0,435	0,395	0,34600000000000003	0,5720000000000001	0,7929999999999999	0,562
2007	0,7959999999999999	0,624	0,588	0,745	0,602	0,628	0,815	0,622	0,555	0,41600000000000004	0,474	0,621	0,498	0,665	0,568	0,642	0,595	0,6859999999999999	0,642	0,506	0,56	0,67	0,617	0,444	0,40399999999999997	0,355	0,584	0,7979999999999999	0,57
2008	0,8009999999999999	0,636	0,608	0,76	0,614	0,642	0,838	0,629	0,557	0,423	0,461	0,627	0,506	0,6629999999999999	0,5820000000000001	0,653	0,598	0,688	0,662	0,514	0,57	0,6729999999999999	0,629	0,45399999999999996	0,41700000000000004	0,366	0,596	0,805	0,579
2009	0,81	0,639	0,61	0,784	0,617	0,65	0,841	0,633	0,56	0,43	0,469	0,637	0,513	0,665	0,5760000000000001	0,6559999999999999	0,601	0,698	0,667	0,521	0,581	0,682	0,634	0,45899999999999996	0,425	0,377	0,601	0,8109999999999999	0,585
2010	0,818	0,642	0,619	0,722	0,634	0,65	0,8240000000000001	0,6459999999999999	0,586	0,43700000000000006	0,47700000000000004	0,634	0,52	0,665	0,599	0,652	0,606	0,7070000000000001	0,674	0,53	0,593	0,695	0,636	0,47100000000000003	0,42200000000000004	0,38799999999999996	0,607	0,818	0,5920000000000001
2011	0,8240000000000001	0,642	0,622	0,7440000000000001	0,638	0,679	0,813	0,6509999999999999	0,57	0,44299999999999995	0,48	0,649	0,524	0,662	0,604	0,6779999999999999	0,611	0,7170000000000001	0,705	0,539	0,602	0,706	0,6459999999999999	0,483	0,429	0,396	0,613	0,8240000000000001	0,6
2012	0,8220000000000001	0,644	0,628	0,7509999999999999	0,644	0,6859999999999999	0,773	0,695	0,5770000000000001	0,45	0,474	0,6579999999999999	0,529	0,6679999999999999	0,605	0,6890000000000001	0,616	0,727	0,708	0,547	0,609	0,7120000000000001	0,649	0,49700000000000005	0,43700000000000006	0,40299999999999997	0,604	0,828	0,607
2013	0,8220000000000001	0,6559999999999999	0,6679999999999999	0,758	0,644	0,6940000000000001	0,76	0,6970000000000001	0,5760000000000001	0,45299999999999996	0,474	0,652	0,536	0,674	0,624	0,6970000000000001	0,619	0,735	0,7240000000000001	0,55	0,617	0,725	0,6659999999999999	0,504	0,449	0,408	0,609	0,835	0,614
