	Argentina	Bolivia	Brasil	Chile	Colombia	Costa Rica	Cuba	Ecuador	El Salvador	Guatemala	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Republica Dominicana	Uruguay	Venezuela	Estados árabe	Asia oriental y el Pacífico	Europa y Asia Central	Latinoamerica y el caribe	Asia del Sur	Africa Sub-sahariana	Países menos desarrollados	Small Island Developing States	Organización para la Cooperación Económica y el Desarrollo	Mundo
1990	0,794	0,555	0,713	0,823	0,765	0,856	0,841	0,752	0,677	0,65	0,7190000000000001	0,7829999999999999	0,6809999999999999	0,815	0,747	0,71	0,7170000000000001	0,809	0,779	0,6829999999999999	0,737	0,727	0,743	0,591	0,46299999999999997	0,488	0,705	0,8420000000000001	0,6990000000000001
1991	0,797	0,565	0,7190000000000001	0,828	0,768	0,8590000000000001	0,841	0,759	0,69	0,6579999999999999	0,726	0,7879999999999999	0,6920000000000001	0,8190000000000001	0,75	0,7190000000000001	0,722	0,812	0,782	0,6890000000000001	0,74	0,726	0,748	0,599	0,462	0,49200000000000005	0,708	0,846	0,701
1992	0,8009999999999999	0,575	0,725	0,8320000000000001	0,772	0,862	0,843	0,7659999999999999	0,7020000000000001	0,667	0,732	0,794	0,703	0,8220000000000001	0,753	0,728	0,727	0,815	0,784	0,695	0,742	0,725	0,753	0,607	0,461	0,49700000000000005	0,7120000000000001	0,8490000000000001	0,7040000000000001
1993	0,804	0,584	0,731	0,8370000000000001	0,7759999999999999	0,865	0,846	0,772	0,7120000000000001	0,6759999999999999	0,7390000000000001	0,799	0,7120000000000001	0,826	0,7559999999999999	0,737	0,732	0,818	0,7859999999999999	0,7	0,745	0,7240000000000001	0,759	0,615	0,46	0,501	0,715	0,852	0,7070000000000001
1994	0,807	0,594	0,737	0,841	0,7809999999999999	0,868	0,8490000000000001	0,778	0,72	0,685	0,745	0,804	0,721	0,8290000000000001	0,759	0,745	0,737	0,821	0,7879999999999999	0,706	0,748	0,7240000000000001	0,764	0,623	0,45899999999999996	0,507	0,718	0,856	0,71
1995	0,81	0,604	0,743	0,846	0,7859999999999999	0,87	0,853	0,784	0,727	0,6940000000000001	0,752	0,809	0,728	0,8320000000000001	0,762	0,752	0,741	0,825	0,79	0,7120000000000001	0,7509999999999999	0,725	0,769	0,63	0,45799999999999996	0,513	0,722	0,86	0,713
1996	0,813	0,614	0,7490000000000001	0,85	0,792	0,873	0,857	0,79	0,733	0,703	0,758	0,8140000000000001	0,735	0,835	0,764	0,76	0,745	0,8290000000000001	0,792	0,7170000000000001	0,755	0,727	0,774	0,637	0,45799999999999996	0,519	0,725	0,863	0,716
1997	0,816	0,624	0,755	0,8540000000000001	0,7979999999999999	0,8759999999999999	0,861	0,7959999999999999	0,738	0,7120000000000001	0,764	0,82	0,742	0,838	0,767	0,767	0,7490000000000001	0,8320000000000001	0,794	0,723	0,759	0,7290000000000001	0,78	0,644	0,45799999999999996	0,525	0,728	0,867	0,72
1998	0,8190000000000001	0,634	0,76	0,8590000000000001	0,804	0,879	0,865	0,8009999999999999	0,743	0,72	0,77	0,825	0,7490000000000001	0,841	0,7709999999999999	0,773	0,753	0,836	0,7959999999999999	0,728	0,763	0,732	0,785	0,6509999999999999	0,45799999999999996	0,532	0,732	0,871	0,723
1999	0,821	0,644	0,7659999999999999	0,863	0,81	0,8809999999999999	0,8690000000000001	0,807	0,747	0,728	0,775	0,831	0,755	0,8440000000000001	0,774	0,78	0,757	0,8390000000000001	0,799	0,732	0,767	0,736	0,79	0,6579999999999999	0,46	0,539	0,735	0,875	0,727
