time,France,États-Unis,Union européenne
1990,1913000000.0,96089000000.0,18252000000.0
1991,2102000000.0,61937000000.0,19251000000.0
1992,2134000000.0,69945000000.0,20583000000.0
1993,1976000000.0,72278000000.0,22769000000.0
1994,2163000000.0,73690000000.0,24637000000.0
1995,2335000000.0,70227000000.0,27499000000.0
1996,2431000000.0,71943000000.0,28141000000.0
1997,2688000000.0,69953000000.0,34986000000.0
1998,2674000000.0,69464000000.0,41748000000.0
1999,2892000000.0,73395000000.0,45624000000.0
2000,3039000000.0,77160000000.0,56819000000.0
2001,3471000000.0,72174000000.0,62921000000.0
2002,3809000000.0,81103000000.0,77397000000.0
2003,4113000000.0,81824000000.0,92421000000.0
2004,4385000000.0,86869000000.0,116470000000.0
2005,4845000000.0,93760000000.0,135684000000.0
2006,6035000000.0,103340000000.0,156442000000.0
2007,8304000000.0,112196000000.0,187411000000.0
2008,10172000000.0,134308000000.0,214041000000.0
2009,12664000000.0,153106000000.0,240776000000.0
2010,15482000000.0,178411000000.0,280215000000.0
2011,19608000000.0,207229000000.0,337112000000.0
2012,24320000000.0,234311000000.0,396039000000.0
2013,25956000000.0,270946000000.0,437523000000.0
2014,28977000000.0,298023000000.0,466091000000.0
