"Gross national income (GNI) per capita (constant 2017 PPP$)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population."
"Source: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)"
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","2478","","2060","","1922","","1321","","951","","1344","","1223","","1130","","1058","","985","","904","","820","","1291","","1334","","1312","","1390","","1479","","1830","","1672","","1900","","1917","","2014","","2165","","2230","","2214","","2128","","2135","","2230","","2217","","2229",""
"69"," Albania","4938","","3496","","3208","","3685","","4103","","4772","","5253","","4681","","5115","","5716","","6139","","6661","","6923","","7338","","7750","","8199","","8830","","9434","","10019","","10241","","10775","","11237","","11365","","11806","","11951","","12273","","12753","","13071","","13637","","13998",""
"91"," Algeria","8597","","8206","","8162","","7830","","7543","","7567","","7655","","7652","","7967","","8025","","8110","","8469","","8734","","9253","","9451","","9692","","9816","","10385","","10574","","10539","","10824","","10793","","10798","","10828","","11006","","11151","","11554","","11372","","11302","","11174",""
"36"," Andorra","45393","","44773","","43488","","41569","","41401","","41761","","43357","","47312","","48965","","50791","","50582","","51350","","52559","","56431","","58307","","60537","","61623","","60386","","54424","","52042","","49262","","47366","","47347","","48486","","50568","","51780","","53245","","54371","","55254","","56000","a"
"148"," Angola","4823","","5380","","2064","","2025","","1550","","3396","","3357","","3962","","3885","","3508","","3674","","3883","","4638","","4663","","4907","","5366","","5646","","6330","","6461","","6967","","6913","","6887","","7282","","7479","","7704","","7652","","7189","","6862","","6361","","6104",""
"78"," Antigua and Barbuda","13232","","13811","","13842","","14534","","15141","","14150","","14841","","15460","","15915","","16156","","16431","","15742","","15358","","16156","","16811","","17776","","19757","","21254","","20819","","18084","","16803","","16199","","16562","","16518","","17033","","17495","","18107","","18923","","20139","","20895",""
"46"," Argentina","13597","","14803","","15940","","17132","","17874","","17091","","17782","","18983","","19426","","18535","","18179","","17152","","14727","","16056","","16058","","17270","","20124","","21867","","22551","","20877","","22727","","23947","","23516","","23852","","23048","","23466","","22697","","22962","","21918","","21190",""
"81"," Armenia","5191","","4617","","2732","","2552","","2743","","3111","","3336","","3600","","3781","","3926","","4180","","4604","","5268","","6035","","6758","","7753","","8889","","10272","","11137","","9435","","9753","","10078","","10831","","11353","","11520","","11774","","11570","","12543","","12895","","13894",""
"8"," Australia","30297","","29644","","29454","","30689","","31715","","32180","","32954","","33931","","35188","","36574","","37638","","37873","","38942","","39573","","40670","","41058","","41486","","42538","","43361","","43533","","43580","","43907","","45313","","45989","","46401","","47043","","47468","","47576","","48024","","48085",""
"18"," Austria","37994","","38721","","39021","","38933","","39634","","40485","","41521","","42166","","43563","","44573","","46309","","46479","","47396","","47771","","48830","","49550","","51240","","52798","","53905","","51287","","52564","","53649","","53642","","53429","","53292","","52639","","53682","","54152","","55533","","56197",""
"88"," Azerbaijan","7684","","7510","","5724","","4340","","3441","","2992","","2995","","3143","","3448","","3810","","3960","","4280","","4612","","5013","","5282","","6298","","8325","","10022","","11518","","12855","","13509","","13012","","13295","","13992","","14516","","14441","","13434","","13513","","13598","","13784",""
"58"," Bahamas","36827","","34595","","33564","","32603","","33032","","39247","","43187","","35621","","36648","","39337","","40369","","40550","","41037","","39988","","39714","","40163","","40314","","40086","","39145","","36564","","36347","","36182","","37182","","35986","","34564","","34615","","34330","","34260","","33481","","33747",""
"42"," Bahrain","40847","","40555","","44977","","47353","","44958","","46029","","46540","","44980","","46165","","46556","","48262","","46704","","45267","","45702","","45927","","46336","","45910","","46257","","44586","","40317","","40353","","37769","","43387","","44951","","45631","","45634","","45484","","44966","","43671","","42522",""
"133"," Bangladesh","1554","","1572","","1625","","1669","","1705","","1752","","1785","","1829","","1884","","1936","","2002","","2061","","2120","","2182","","2268","","2383","","2538","","2703","","2863","","2980","","3117","","3274","","3462","","3614","","3742","","3936","","4143","","4340","","4643","","4976",""
"58"," Barbados","13867","","13314","","12376","","12338","","12762","","12907","","13348","","13998","","13494","","13461","","14912","","14441","","14450","","14772","","14868","","15379","","15904","","16477","","16390","","15299","","15166","","14408","","14756","","14433","","14399","","14669","","14990","","15079","","14970","","14936",""
"53"," Belarus","8891","","8780","","7920","","7301","","6431","","5784","","5976","","6669","","7263","","7555","","8024","","8449","","8934","","9661","","10834","","11919","","13179","","14310","","15821","","15784","","16988","","17850","","18145","","18076","","18462","","17483","","17004","","17585","","18187","","18546",""
"14"," Belgium","35737","","36389","","36790","","36649","","37991","","38723","","39206","","40637","","41346","","42663","","44239","","44257","","44750","","45106","","46265","","47010","","47980","","49357","","49674","","48032","","48791","","48313","","49400","","49465","","49849","","50238","","50492","","51319","","51619","","52085",""
"110"," Belize","4674","","5109","","5590","","5817","","5638","","5570","","5448","","5478","","5404","","5619","","6080","","6084","","6222","","6524","","6533","","6539","","6680","","6382","","6481","","6698","","6524","","6708","","6627","","6579","","6602","","6846","","6671","","6507","","6453","","6382",""
"158"," Benin","2133","","2158","","2103","","2190","","2150","","2209","","2235","","2307","","2346","","2404","","2470","","2523","","2554","","2562","","2599","","2575","","2596","","2670","","2735","","2715","","2690","","2704","","2744","","2861","","2962","","2922","","2935","","3011","","3129","","3254",""
"129"," Bhutan","2511","","2430","","2444","","2534","","2779","","2792","","2979","","3187","","3034","","3232","","4053","","4303","","4609","","4839","","5039","","5372","","5734","","6647","","6796","","7085","","7718","","8179","","8355","","8518","","8896","","9372","","9851","","10175","","10327","","10746",""
"107"," Bolivia (Plurinational State of)","4352","","4515","","4546","","4641","","4782","","4902","","5024","","5184","","5368","","5262","","5276","","5268","","5297","","5276","","5355","","5518","","5703","","5847","","6133","","6199","","6301","","6481","","6608","","6937","","7314","","7718","","8057","","8186","","8445","","8554",""
"73"," Bosnia and Herzegovina","1775","","1644","","1587","","1612","","1856","","2309","","3830","","5374","","7999","","8438","","8491","","8573","","8864","","9092","","9539","","9871","","10293","","10906","","11591","","11314","","11252","","11398","","11492","","12032","","12322","","12882","","13383","","13739","","14378","","14872",""
