		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Aruba	ABW	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.18	0.40	1.00	85.37	72.20	92.68	1.28	0.34	1.00	88.29	73.66	93.17	1.26	0.42	1.00	88.29	72.20	94.63	1.27	0.42	1.00	88.83	72.33	93.69	1.29	0.40	1.00	87.86	73.79	94.66	1.12	0.29	2.00	84.21	72.73	91.39	1.13	0.29	2.00	84.29	72.38	92.38	1.11	0.30	2.00	83.41	72.04	91.94	1.10	0.31	2.00	82.94	72.04	91.47	1.13	0.31	2.00	82.94	71.56	91.47	1.02	0.30	2.00	81.73	69.23	90.87	1.30	0.29	2.00	88.46	76.92	92.79	1.29	0.31	2.00	89.42	76.92	92.79	1.29	0.28	2.00	87.98	79.81	92.31	1.25	0.28	2.00	87.02	79.33	92.31	1.22	0.29	2.00	85.10	75.96	92.31
Andorra	ADO	1.32	0.48	1.00	87.10	72.04	96.77	1.38	0.46	1.00	89.18	74.74	96.91	1.36	0.47	1.00	88.83	73.10	95.43	1.35	0.44	1.00	88.38	74.75	95.45	1.38	0.40	1.00	88.89	76.26	94.95	1.14	0.40	1.00	84.39	71.71	91.71	1.28	0.34	1.00	88.29	73.66	93.17	1.26	0.42	1.00	88.29	72.20	94.63	1.27	0.42	1.00	88.83	72.33	93.69	1.29	0.40	1.00	87.86	73.79	94.66	1.33	0.43	1.00	88.04	72.73	95.22	1.31	0.43	1.00	88.10	72.38	94.76	1.28	0.42	1.00	88.15	72.04	94.79	1.27	0.43	1.00	87.20	71.56	95.26	1.26	0.44	1.00	86.73	70.14	95.73	1.23	0.42	1.00	87.02	69.23	95.19	1.22	0.42	1.00	87.02	68.27	95.19	1.23	0.42	1.00	87.50	68.75	94.71	1.24	0.40	1.00	86.54	70.67	95.19	1.24	0.40	1.00	86.54	71.15	94.71	1.23	0.41	1.00	87.50	70.19	95.19
Afghanistan	AFG	-1.29	0.34	2.00	4.30	0.00	27.42	-1.18	0.33	2.00	9.79	0.00	31.44	-1.30	0.36	2.00	5.08	0.00	29.44	-1.26	0.36	2.00	5.05	0.00	31.82	-1.35	0.28	3.00	5.05	0.00	18.18	-1.35	0.21	5.00	5.85	0.00	14.15	-1.44	0.21	5.00	2.44	0.00	13.17	-1.43	0.21	7.00	3.90	0.00	12.20	-1.59	0.23	6.00	0.97	0.00	7.28	-1.64	0.22	7.00	0.49	0.00	4.85	-1.53	0.20	8.00	0.96	0.00	7.66	-1.64	0.20	9.00	0.95	0.00	3.81	-1.58	0.19	9.00	0.95	0.00	5.69	-1.42	0.19	10.00	2.37	0.00	11.85	-1.44	0.16	11.00	1.90	0.00	9.95	-1.35	0.16	11.00	5.29	0.48	12.50	-1.34	0.16	11.00	6.25	1.44	12.50	-1.53	0.17	10.00	3.37	0.00	9.62	-1.52	0.16	10.00	3.85	0.00	9.62	-1.50	0.16	10.00	4.33	0.00	9.62	-1.40	0.16	10.00	6.73	1.92	12.02
Angola	AGO	-1.17	0.26	4.00	9.68	0.54	27.42	-1.41	0.21	6.00	1.55	0.00	13.40	-1.52	0.22	6.00	1.52	0.00	8.12	-1.18	0.20	6.00	6.57	0.00	24.24	-1.32	0.18	8.00	5.56	0.00	11.62	-1.31	0.16	10.00	7.80	0.98	14.15	-1.30	0.18	9.00	7.32	0.49	16.59	-1.22	0.17	11.00	7.80	1.95	18.05	-1.29	0.18	10.00	5.83	0.49	17.96	-1.28	0.18	11.00	4.85	0.97	15.53	-1.40	0.17	12.00	2.39	0.00	11.96	-1.33	0.16	13.00	3.81	0.95	13.81	-1.34	0.15	13.00	4.27	0.00	13.74	-1.27	0.16	12.00	7.11	0.00	15.64	-1.31	0.15	13.00	6.16	0.47	12.32	-1.44	0.15	12.00	3.85	0.00	9.13	-1.39	0.15	10.00	3.85	0.48	11.06	-1.44	0.16	10.00	5.77	0.96	10.58	-1.41	0.14	10.00	6.25	0.96	11.06	-1.14	0.15	10.00	11.54	7.21	16.83	-1.05	0.15	11.00	13.94	9.13	23.08
Anguilla	AIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.86	0.40	1.00	79.02	60.49	91.71	1.28	0.34	1.00	88.29	73.66	93.17	1.26	0.42	1.00	88.29	72.20	94.63	1.27	0.42	1.00	88.83	72.33	93.69	1.29	0.40	1.00	87.86	73.79	94.66	1.33	0.43	1.00	88.04	72.73	95.22	1.31	0.43	1.00	88.10	72.38	94.76	1.28	0.42	1.00	88.15	72.04	94.79	1.27	0.43	1.00	87.20	71.56	95.26	1.26	0.44	1.00	86.73	70.14	95.73	1.23	0.42	1.00	87.02	69.23	95.19	1.22	0.42	1.00	87.02	68.27	95.19	1.23	0.42	1.00	87.50	68.75	94.71	1.24	0.40	1.00	86.54	70.67	95.19	1.24	0.40	1.00	86.54	71.15	94.71	1.23	0.41	1.00	87.50	70.19	95.19
Albania	ALB	-0.89	0.32	3.00	19.35	2.69	43.01	-1.03	0.22	5.00	14.43	2.06	31.44	-0.86	0.22	6.00	23.86	6.60	35.53	-0.87	0.21	6.00	23.74	6.06	34.34	-0.81	0.19	7.00	24.24	10.10	35.86	-0.70	0.17	9.00	27.32	14.63	40.49	-0.79	0.15	10.00	22.93	15.61	36.59	-0.80	0.15	12.00	22.93	14.63	34.63	-0.69	0.15	12.00	28.64	18.45	37.86	-0.59	0.14	12.00	33.50	20.39	42.23	-0.54	0.14	12.00	35.41	23.92	47.37	-0.53	0.14	12.00	36.19	23.81	47.62	-0.68	0.14	13.00	26.54	18.96	39.34	-0.73	0.12	14.00	27.49	18.48	36.02	-0.70	0.13	13.00	27.01	19.43	37.91	-0.55	0.13	12.00	34.62	24.52	46.63	-0.48	0.13	12.00	38.46	26.92	49.04	-0.41	0.13	12.00	40.87	31.73	50.48	-0.42	0.12	12.00	42.31	29.81	49.04	-0.52	0.14	11.00	35.10	24.52	44.23	-0.53	0.14	11.00	33.17	25.00	44.23
Netherlands Antilles (former)	ANT	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.62	0.40	1.00	73.66	55.12	85.85	1.28	0.34	1.00	88.29	73.66	93.17	1.26	0.42	1.00	88.29	72.20	94.63	1.27	0.42	1.00	88.83	72.33	93.69	1.29	0.40	1.00	87.86	73.79	94.66	0.84	0.43	1.00	77.03	61.24	90.91	0.82	0.43	1.00	77.14	60.95	90.95	0.80	0.42	1.00	75.83	61.14	89.57	0.79	0.43	1.00	76.30	60.66	90.52	0.79	0.44	1.00	76.78	59.72	89.57	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
United Arab Emirates	ARE	-0.01	0.31	3.00	57.53	35.48	72.04	0.05	0.27	3.00	57.22	42.27	69.07	0.12	0.29	3.00	61.42	43.65	73.60	1.15	0.21	4.00	83.84	77.78	89.90	0.86	0.23	4.00	78.28	71.72	85.35	1.06	0.20	5.00	83.90	75.61	90.24	1.00	0.19	5.00	81.46	73.17	88.29	0.89	0.21	5.00	79.02	72.20	84.88	1.01	0.21	5.00	81.07	73.79	89.81	1.08	0.21	5.00	83.01	74.27	91.26	0.91	0.19	7.00	78.95	72.25	85.17	0.90	0.19	7.00	78.57	72.38	84.76	1.08	0.16	9.00	81.99	76.30	88.15	1.16	0.15	8.00	83.89	77.73	89.10	1.28	0.15	8.00	87.20	81.04	89.57	1.20	0.14	8.00	83.17	79.81	89.90	1.07	0.14	8.00	82.69	76.92	88.94	1.17	0.15	8.00	84.13	80.29	90.38	1.13	0.13	8.00	82.69	80.77	88.46	1.15	0.14	8.00	83.65	80.77	88.46	1.11	0.16	8.00	83.65	79.33	88.94
