CEPAL - CEPALSTAT	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
ARGENTINA	8,4	9,0	9,1	11,2	11,1	11,3	12,1	13,0	13,0	14,1	14,2	14,6	13,5
BOLIVIA (ESTADO PLURINACIONAL DE)	11,8	11,7	11,5	13,0	12,3	11,2	11,0	10,9	11,6	12,5	12,6	12,7	12,7
BRASIL	14,2	14,3	14,0	15,2	15,0	14,9	15,3	15,4	15,9	16,3	17,3	17,6	17,7
CHILE	11,5	11,8	13,5	15,7	14,8	14,3	14,6	14,7	15,0	15,8	16,1	16,4	16,4
COLOMBIA	10,7	11,4	11,3	13,3	12,2	12,3	12,4	12,8	12,9	13,0	12,5	13,4	12,6
COSTA RICA	7,7	8,0	8,9	10,1	11,9	11,5	12,0	12,1	12,1	12,4	12,3	12,5	12,1
CUBA	15,5	11,5	16,7	20,1	19,9	17,6	19,2	11,9	10,9	10,6	10,1	14,6	14,6
ECUADOR	4,3	5,4	6,5	8,1	8,1	8,1	8,2	9,2	8,5	8,4	8,8	9,2	9,0
EL SALVADOR	9,1	8,3	8,3	9,2	9,3	9,6	9,7	10,3	9,9	10,0	9,9	10,0	9,0
GUATEMALA	7,8	7,2	7,0	8,1	8,0	7,5	7,6	7,6	7,5	7,1	6,9	6,9	7,0
HONDURAS	9,3	10,5	10,5	11,2	11,7	10,8	10,9	10,9	9,6	8,7	8,9	8,5	8,0
MÉXICO	7,7	8,5	8,6	9,4	9,6	9,6	9,6	10,0	10,1	10,5	9,9	8,8	8,7
NICARAGUA	8,7	9,0	9,2	9,8	9,3	9,1	9,5	9,7	10,2	10,6	10,6	10,7	11,1
PANAMÁ	8,2	8,1	8,4	9,2	9,5	9,1	8,8	8,5	8,2	8,5	8,5	8,8	8,8
PARAGUAY	6,1	6,1	5,8	7,0	6,4	7,3	8,6	8,2	8,4	8,8	8,5	8,6	8,6
PERÚ - GOBIERNO GENERAL	9,2	8,9	9,3	10,2	9,5	9,0	9,4	10,3	11,1	11,0	10,4	11,4	11,1
REPÚBLICA DOMINICANA	6,4	6,6	7,3	6,7	6,3	6,2	7,3	8,1	7,7	8,1	8,0	8,5	8,0
URUGUAY	11,9	11,7	12,2	12,7	12,7	13,4	13,8	14,2	14,3	14,9	15,9	16,8	17,2
VENEZUELA (REPÚBLICA BOLIVARIANA DE)	13,7	12,8	13,1	13,0	11,6	13,4	14,4	16,1	18,8	18,8	18,8	18,8	18,8
AMÉRICA LATINA	9,0	9,2	9,5	10,6	10,5	10,3	10,6	10,9	10,9	11,2	11,3	11,5	11,3
