country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,0.437,0.413,0.413,0.412,0.406,0.389,0.389,0.391,0.392,0.393,0.388,0.396,0.400
BOL,0.586,0.513,0.511,0.491,0.471,0.474,0.480,0.471,0.454,0.466,0.461,0.438,0.430
BRA,0.543,0.536,0.533,0.5295,0.526,0.523,0.522,0.514,0.511,0.532,0.533,0.540,0.538
CHL,0.4805,0.47925,0.478,0.4735,0.469,0.4675,0.466,0.4595,0.453,0.4535,0.454,0.454,0.454
COL,0.561,0.572,0.557,0.560,0.549,0.539,0.540,0.540,0.524,0.521,0.511,0.520,0.529
CRA,0.498,0.491,0.512,0.492,0.500,0.502,0.508,0.498,0.496,0.500,0.496,0.493,0.495
ECU,0.534,0.496,0.485,0.490,0.458,0.468,0.470,0.449,0.462,0.450,0.444,0.454,0.456
SLV,0.470,0.474,0.478,0.454,0.446,0.438,0.453,0.434,0.426,0.420,0.399,0.405,0.406
GUA,'','','','','','','',0.535,'','',0.495,0.445,''
HND,0.502,0.502,0.502,0.519,0.551,0.552,0.515,0.481,0.469,0.480,0.4805,0.481,0.494
MEX,0.513,0.513,0.5115,0.510,0.5045,0.499,0.5005,0.502,0.503,0.504,0.4895,0.475,0.475
NIC,'','',0.463,'','','','',0.495,'','','','',''
PAN,0.539,0.528,0.530,0.529,0.528,0.526,0.524,0.502,0.499,0.495,0.505,0.501,0.506
PAR,0.536,0.516,0.503,0.527,0.535,0.489,0.495,0.522,0.494,0.497,0.503,0.474,0.473
PER,0.518,0.495,0.488,0.471,0.463,0.457,0.453,0.446,0.449,0.452,0.448,0.439,0.429
RDM,0.495,0.489,0.496,0.480,0.484,0.469,0.484,0.449,0.457,0.435,0.433,0.441,0.432
URY,0.468,0.453,0.447,0.438,0.413,0.391,0.397,0.392,0.392,0.391,0.390,0.391,0.392
VEN,0.391,0.379,0.381,0.364,0.368,0.384,0.388,0.378,0.381,0.380,0.381,0.377,0.377
AL,0.510,0.500,0.490,0.490,0.480,0.480,0.480,0.470,0.470,0.470,0.460,0.460,0.460
