country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,51.7,51.4,50.8,49.4,47.9,46.7,45.8,44.9,44,43,42.3,41.8,41.6,41.6,41.8,42.1,42.3,42.4,42.4,42.4
BOL,58.7,58.1,57.5,57.3,56.4,55.1,54,51.8,49.7,48.1,47.4,47.1,47,46.7,46.3,45.7,45.1,44.6,44.6,44.6
BRA,58.4,57.9,57.4,56.8,56.2,55.5,54.9,54.3,53.8,53.3,53.1,52.6,52.2,51.9,51.6,51.4,51.3,51.3,51.3,51.3
CHL,52.5,51.8,51.1,50.3,49.6,49,48.7,48.5,48.4,48.2,47.9,47.6,47.5,47.5,47.5,47.6,47.7,47.7,47.7,47.7
COL,56.8,56,55,54.4,54.2,54.6,54.5,54.7,54.6,54.2,53.7,53.4,52.7,52.1,51.7,51.3,50.9,50.8,50.8,50.8
CRA,49.6,49.7,49.7,49.3,48.8,48.6,49.1,49.2,49.1,48.9,49.1,48.7,48.7,48.7,48.7,48.6,48.6,48.7,48.7,48.7
CUB,42.4,42.5,42.6,42.7,42.8,42.9,43,43.2,43.2,43.3,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4
RDM,51.1,51.3,50.9,51.1,50.9,50,49.3,48.7,47.8,47.2,47.1,46.2,45.7,45.3,45.3,44.9,45.2,45.3,45.3,45.3
ECU,55.6,54.7,54,53.4,53.2,52.4,51.4,50.5,49.2,47.8,47.2,46.5,46,45.8,45.6,45.2,45.2,45,45,45
SLV,54.4,54.4,54.4,54.5,54.3,54.1,53.6,53,52.2,51.4,50.7,49.9,49.2,48.8,48.5,48.3,48.3,48.3,48.3,48.3
GUA,55.9,56.5,57.3,57.8,57.8,57.3,55.9,54.6,54.4,54.4,53.9,53.7,53,51.7,50.5,50,50,50.1,50.1,50.1
HND,50.6,50.2,49.7,49.2,48.8,48.4,47.9,47.3,46.9,46.8,46.8,46.9,46.9,46.8,46.5,46.3,46,45.9,45.9,45.9
MEX,47.8,47.1,46.3,45.6,45,44.6,44.3,44.2,44.3,44.5,44.8,45.3,45.6,45.9,46.1,46.2,46.2,46.2,46.2,46.2
NIC,56.4,56.1,55.5,55.1,54.4,53.9,53.3,52.9,52.2,52,51.7,51.4,51.2,51,50.7,50.5,50.5,50.4,50.4,50.4
PAN,52.9,51.7,52,51.8,51.1,50,49.4,48.4,47.2,46.1,45.3,44.6,44.1,43.9,43.7,43.6,43.7,43.8,43.8,43.8
PAR,55.2,54.7,54.1,53.8,52.9,52.1,51.5,51.4,51.2,50.2,49.6,49.9,49.2,48.4,48.4,48.4,47.8,47.9,47.9,47.9
PER,51.5,50.6,50,48.9,47.5,46.8,46.4,45.4,44.8,44.1,43.4,42.5,41.9,41.5,41.1,40.4,40.1,40,40,40
URY,44.9,45.1,45.3,45.5,45.8,45.8,45.8,45.5,44.8,43.5,42.6,41.5,40.6,40.1,40.1,39.9,39.8,39.7,39.7,39.7
VEN,49.1,49.4,50.3,50,49.3,48.6,48,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9
