SUJ,COUNTRY,YEAR,IDHR,IGINI,IPIBPC,IDH,CONTCORR,EGOB,ESTPOL,CALIREG,RJUE,VOZYREND,IPC,ILIB,IDEM
1,Argentina,1/1/2007,0.819162987,45.8,0.781,0.806,-0.3402916,-0.0159589,0.0988585,-0.6682156,-0.5916041,0.4486213,29,2,66.3
1,Argentina,1/1/2008,0.822705901,44.9,0.786,0.81,-0.4355765,-0.1468119,-0.0852222,-0.7375205,-0.6766081,0.3588959,29,2,66.3
1,Argentina,1/1/2009,0.828782239,44.00,0.774,0.81,-0.4449961,-0.3182648,-0.2324056,-0.8450356,-0.6754778,0.2800475,29,2,68.4
1,Argentina,1/1/2010,0.833846509,43.00,0.787,0.818,-0.3614692,-0.16279,-0.0847979,-0.7623686,-0.590509,0.3616894,29,2,68.4
1,Argentina,1/1/2011,0.838374618,42.3,0.795,0.823,-0.3661579,-0.1200561,0.1589937,-0.7222099,-0.5608934,0.3449418,30,2,68.4
1,Argentina,1/1/2012,0.838337641,41.8,0.792,0.823,-0.4431399,-0.2385752,0.1030405,-0.9292172,-0.6796814,0.2952099,35,2,68.4
1,Argentina,1/1/2013,0.839807121,41.6,0.794,0.824,-0.432282,-0.2775489,0.0653143,-0.957261,-0.7076761,0.2769879,34,2,68.4
1,Argentina,1/1/2014,0.842828571,41.6,0.789,0.825,-0.5416201,-0.1591353,-0.0051219,-1074257.00,-0.8860345,0.3453205,34,2,70.2
1,Argentina,1/1/2015,0.847358248,41.8,0.792,0.828,-0.5470577,-0.0750081,0.0147854,-0.9114419,-0.770812,0.4117876,32,2,69.6
1,Argentina,1/1/2016,0.849358582,42.1,0.787,0.828,-0.2840413,0.1621292,0.2046255,-0.4696253,-0.3936059,0.4925631,36,2,69.6
1,Argentina,1/1/2017,0.854408567,42.3,0.788,0.832,-0.255946,0.149542,0.1694364,-0.2911722,-0.2456109,0.527113,39,2,70.2
1,Argentina,1/1/2018,0.855885506,42.4,0.781,0.83,-0.0834675,0.0259878,0.0199319,-0.2430697,-0.2400078,0.5653015,40,2,70.2
2,Bolivia (Plurinational State of),1/1/2007,0.667484831,54.00,0.583,0.638,-0.4037066,-0.5706812,-0.8503005,-0.9819081,-0.8301125,0.042224,29,3,59.8
2,Bolivia (Plurinational State of),1/1/2008,0.677637071,51.8,0.59,0.647,-0.5232219,-0.6245782,-0.6955554,-0.8709679,-0.9745278,0.0029617,30,3,61.5
2,Bolivia (Plurinational State of),1/1/2009,0.682986091,49.7,0.592,0.651,-0.6303167,-0.6045188,-0.5074582,-0.8793064,-110793.00,0.0069464,27,3,59.2
2,Bolivia (Plurinational State of),1/1/2010,0.688794599,48.1,0.594,0.656,-0.4657613,-0.5023107,-0.4154072,-0.802755,-1023741.00,-0.0392689,28,3,58.4
2,Bolivia (Plurinational State of),1/1/2011,0.692049131,47.4,0.599,0.66,-0.5694195,-0.472497,-0.4171265,-0.7557204,-0.9790578,-0.0682378,27.6,3,58.4
2,Bolivia (Plurinational State of),1/1/2012,0.696832835,47.1,0.601,0.663,-0.7292001,-0.3686716,-0.4580681,-0.8235803,-1016074.00,-0.0815853,34,3,57.9
2,Bolivia (Plurinational State of),1/1/2013,0.706552192,47.00,0.609,0.673,-0.5899193,-0.3865935,-0.3285934,-0.7768504,-1046429.00,-0.068993,34,3,57.9
2,Bolivia (Plurinational State of),1/1/2014,0.711955055,46.7,0.617,0.678,-0.6301294,-0.5877074,-0.3331121,-0.8702523,-1055193.00,-0.0263198,35,3,57.5
2,Bolivia (Plurinational State of),1/1/2015,0.717432924,46.3,0.625,0.685,-0.6963719,-0.6519912,-0.2684872,-0.8858231,-1141064.00,-0.0046696,34,3,56.3
2,Bolivia (Plurinational State of),1/1/2016,0.725137918,45.7,0.631,0.692,-0.7243935,-0.5670627,-0.2488664,-0.9240948,-1200557.00,-0.0369255,33,3,54.9
2,Bolivia (Plurinational State of),1/1/2017,0.73549983,45.1,0.634,0.7,-0.6573039,-0.3831694,-0.2780149,-0.8986728,-1208274.00,-0.0256513,33,3,57.00
2,Bolivia (Plurinational State of),1/1/2018,0.737373718,44.6,0.638,0.703,-0.62591,-0.3220994,-0.2428411,-0.8945125,-114962.00,-0.0425873,29,3,48.4
3,Brazil,1/1/2007,0.690130422,54.9,0.736,0.705,-0.0759291,-0.2142833,-0.3569552,-0.0254311,-0.3710029,0.537074,35,2,73.8
3,Brazil,1/1/2008,0.703931815,54.3,0.741,0.716,0.00789,-0.0895778,-0.3125997,0.0539286,-0.315275,0.5689857,35,2,73.8
3,Brazil,1/1/2009,0.707248188,53.8,0.74,0.718,-0.0693086,-0.0947754,0.1662922,0.0994606,-0.1565112,0.5220069,37,2,71.2
3,Brazil,1/1/2010,0.714615281,53.3,0.749,0.726,0.04628,-0.0353412,0.0134759,0.1524443,0.0440805,0.5713488,37,2,71.2
3,Brazil,1/1/2011,0.718512352,53.1,0.754,0.73,0.1659021,-0.1165466,-0.1325754,0.1653361,0.0376608,0.5136762,37.7,2,71.2
3,Brazil,1/1/2012,0.723707123,52.6,0.756,0.734,-0.0372771,-0.1281734,0.0459616,0.0939019,-0.0694494,0.4779062,43,2,71.2
3,Brazil,1/1/2013,0.748187142,52.2,0.76,0.752,-0.08471,-0.0928867,-0.2585533,0.0734235,-0.0801801,0.4174263,42,2,73.8
3,Brazil,1/1/2014,0.753331268,51.9,0.759,0.755,-0.3384546,-0.1393555,-0.0702901,-0.0781973,-0.0498579,0.4719279,43,2,69.6
3,Brazil,1/1/2015,0.756797199,51.6,0.752,0.755,-0.3964888,-0.18409,-0.3314581,-0.1926553,-0.1470753,0.4588516,38,2,69.00
3,Brazil,1/1/2016,0.763053078,51.4,0.745,0.757,-0.3814404,-0.1737783,-0.3772054,-0.2073155,-0.1572228,0.4505662,40,2,68.6
3,Brazil,1/1/2017,0.766627028,51.3,0.746,0.76,-0.532073,-0.2910038,-0.4198374,-0.1144198,-0.2843652,0.4526689,37,2,69.7
3,Brazil,1/1/2018,0.76842241,51.3,0.747,0.761,-0.4196956,-0.4474374,-0.3570176,-0.3132748,-0.2776436,0.3885686,35,2,68.6
4,Chile,1/1/2007,0.816106611,48.7,0.77,0.801,1396431.00,1275488.00,0.4071552,1505748.00,128842.00,1104882.00,70,1,78.9
4,Chile,1/1/2008,0.82566337,48.5,0.781,0.811,1376727.00,1168234.00,0.4331903,1518668.00,1313308.00,1013508.00,69,1,78.9
4,Chile,1/1/2009,0.840466537,48.4,0.778,0.819,1380127.00,1247791.00,0.6032314,1462517.00,1296515.00,1016847.00,67,1,76.7
4,Chile,1/1/2010,0.807891082,48.2,0.784,0.8,1497289.00,127253.00,0.6796045,1438484.00,133554.00,1095609.00,72,1,75.4
4,Chile,1/1/2011,0.82146698,47.9,0.793,0.812,1528443.00,1247598.00,0.4525534,1459092.00,1365901.00,1073909.00,72.1,1,75.4
4,Chile,1/1/2012,0.826686156,47.6,0.802,0.818,1582224.00,1264068.00,0.3311021,1538509.00,1391888.00,1076945.00,72,1,78.00
4,Chile,1/1/2013,0.840631905,47.5,0.807,0.83,1541565.00,1264524.00,0.3637425,1491449.00,1367829.00,1106285.00,71,1,78.00
4,Chile,1/1/2014,0.846971074,47.5,0.81,0.834,1488503.00,1161332.00,0.4475169,1494421.00,143314.00,1055915.00,73,1,78.4
4,Chile,1/1/2015,0.852675788,47.5,0.812,0.839,127997.00,1086102.00,0.4334392,1345232.00,1344083.00,1004488.00,70,1,77.8
4,Chile,1/1/2016,0.857904424,47.6,0.813,0.843,1140054.00,1010753.00,0.4131105,1373064.00,1129269.00,0.9951399,66,1,78.4
4,Chile,1/1/2017,0.862585648,47.7,0.811,0.845,1039291.00,0.8435157,0.4170224,1335125.00,1011737.00,0.9987726,67,1,79.7
4,Chile,1/1/2018,0.8635207,47.7,0.815,0.847,1012118.00,1084034.00,0.4252459,1343512.00,1115472.00,1054925.00,67,1,80.8
5,Colombia,1/1/2007,0.721357054,54.5,0.697,0.713,-0.2159635,-0.0468053,-180328.00,0.2413717,-0.4358616,-0.1653216,38,3,64.00
5,Colombia,1/1/2008,0.730054792,54.7,0.699,0.72,-0.2376168,-0.0287408,-1850909.00,0.2619745,-0.3967666,-0.1659226,38,3.5,65.4
5,Colombia,1/1/2009,0.73655346,54.6,0.7,0.724,-0.309453,-0.2459242,-1831908.00,0.1482843,-0.3884734,-0.1496109,37,3.5,65.5
5,Colombia,1/1/2010,0.741169346,54.2,0.704,0.729,-0.385391,-0.0592384,-1537185.00,0.2534749,-0.3085898,-0.1323792,35,3.5,66.3
5,Colombia,1/1/2011,0.747068939,53.7,0.712,0.735,-0.2887937,0.0388793,-1284656.00,0.3592378,-0.2558286,-0.0597142,34.5,3.5,66.3
5,Colombia,1/1/2012,0.745935654,53.4,0.717,0.736,-0.3874514,0.022952,-140181.00,0.4006766,-0.353872,-0.0639913,36,3.5,65.5
5,Colombia,1/1/2013,0.756988771,52.7,0.723,0.746,-0.405205,0.0713581,-1291972.00,0.4028929,-0.4058876,-0.0812788,36,3.5,65.5
5,Colombia,1/1/2014,0.759882886,52.1,0.73,0.75,-0.3686264,-0.1005563,-1114594.00,0.4962346,-0.2919019,-0.0433162,37,3.5,66.2
5,Colombia,1/1/2015,0.762908907,51.7,0.735,0.753,-0.2981746,-0.0361266,-1069147.00,0.4654272,-0.2684166,0.0039272,37,3.5,66.7
5,Colombia,1/1/2016,0.77048037,51.3,0.736,0.759,-0.3242517,0.0154443,-0.8824593,0.4020093,-0.2787975,0.1207723,37,3,66.7
5,Colombia,1/1/2017,0.773503717,50.9,0.735,0.76,-0.3700208,-0.0738818,-0.7726035,0.3409346,-0.3600142,0.1109427,37,3,69.6
5,Colombia,1/1/2018,0.774827077,50.8,0.734,0.761,-0.3014929,-0.0852262,-0.8133885,0.3277881,-0.4078089,0.1913842,36,3,71.3
6,Costa Rica,1/1/2007,0.75096205,49.1,0.723,0.742,0.5165263,0.2012671,0.5834517,0.4184185,0.3818599,0.9353473,50,1,80.4
6,Costa Rica,1/1/2008,0.760131568,49.2,0.729,0.75,0.5518208,0.2776813,0.3603145,0.4572019,0.460335,0.9667597,51,1,80.4
6,Costa Rica,1/1/2009,0.765702292,49.1,0.724,0.751,0.7520683,0.3313352,0.5871099,0.42198,0.5635187,1005792.00,53,1,80.4
6,Costa Rica,1/1/2010,0.766550716,48.9,0.729,0.754,0.7081604,0.3081369,0.6915372,0.4651055,0.5236668,103989.00,53,1,81.00
6,Costa Rica,1/1/2011,0.786061066,49.1,0.734,0.768,0.6489542,0.338154,0.508276,0.4497046,0.4513585,1053863.00,48,1,81.00
6,Costa Rica,1/1/2012,0.791391812,48.7,0.739,0.774,0.6182616,0.5001248,0.6384025,0.5717511,0.5196874,108822.00,54,1,80.3
6,Costa Rica,1/1/2013,0.796276334,48.7,0.74,0.777,0.6259013,0.4823061,0.677918,0.5832982,0.55167,1078483.00,53,1,80.3
6,Costa Rica,1/1/2014,0.807268233,48.7,0.743,0.785,0.7554398,0.3965975,0.5774182,0.5148572,0.5605012,1138346.00,54,1,79.6
6,Costa Rica,1/1/2015,0.806449006,48.7,0.746,0.786,0.7484275,0.3756126,0.6820255,0.5257646,0.5047452,1151579.00,55,1,78.8
6,Costa Rica,1/1/2016,0.809473286,48.6,0.751,0.789,0.7442378,0.355468,0.6614283,0.4074337,0.4660427,1117528.00,58,1,78.8
6,Costa Rica,1/1/2017,0.812497385,48.6,0.753,0.792,0.4666402,0.2485956,0.6086774,0.4479403,0.4548208,1120113.00,59,1,80.7
6,Costa Rica,1/1/2018,0.813818162,48.7,0.755,0.794,0.5517608,0.3781868,0.4864345,0.479403,0.4787028,1144658.00,56,1,81.3
7,Cuba,1/1/2007,0.85310902,43.00,0.622,0.768,0.3068026,-0.2008853,0.4513592,-1556243.00,-0.6848091,-1853983.00,42,7,35.2
7,Cuba,1/1/2008,0.866031177,43.2,0.628,0.778,0.2703176,-0.379952,0.5247645,-1497101.00,-0.8249094,-1800639.00,43,6.5,35.2
7,Cuba,1/1/2009,0.868064514,43.2,0.629,0.78,0.279622,-0.36246,0.3571717,-1603957.00,-0.7082311,-1703885.00,44,6.5,35.2
7,Cuba,1/1/2010,0.860204627,43.3,0.633,0.776,0.3128165,-0.3614289,0.3492924,-1671379.00,-0.718004,-1616888.00,37,6.5,35.2
7,Cuba,1/1/2011,0.854443679,43.4,0.638,0.775,0.2723486,-0.3753886,0.2803821,-1626527.00,-0.6907415,-1610357.00,41.6,6.5,35.2
7,Cuba,1/1/2012,0.833622816,43.4,0.642,0.764,0.2352728,-0.4049135,0.3072483,-1560556.00,-0.7055269,-1514607.00,48,6.5,35.2
7,Cuba,1/1/2013,0.827042925,43.4,0.646,0.762,0.120165,-0.4397751,0.3705646,-1583988.00,-0.6972642,-1478674.00,46,6.5,35.2
7,Cuba,1/1/2014,0.829759001,43.4,0.647,0.764,0.0684009,-0.0467849,0.544822,-1325052.00,-0.657769,-1544798.00,46,6.5,35.2
7,Cuba,1/1/2015,0.83184614,43.4,0.654,0.768,0.0704845,0.021765,0.6441017,-122355.00,-0.7014594,-1558119.00,47,6.5,34.6
7,Cuba,1/1/2016,0.836631341,43.4,0.654,0.771,0.1691387,-0.1049787,0.6853639,-1338703.00,-0.4423624,-1560196.00,47,6.5,33.1
7,Cuba,1/1/2017,0.845146733,43.4,0.657,0.777,0.2656265,-0.181841,0.6469012,-1329062.00,-0.4313568,-1551914.00,47,6.5,30.00
7,Cuba,1/1/2018,0.845146733,43.4,0.658,0.778,0.1654153,-0.2448378,0.6523342,-1455965.00,-0.4443496,-1444819.00,47,6.5,28.4
