SUJ,COUNTRY,COD,YEAR,IDHR,IDH,IS,IE,IDP,IPC,ILIB,IDEM,GASTS,Democracyindex(EIU),Electoralpluralismindex(EIU),Governmentindex(EIU),Politicalparticipationindex(EIU),Politicalcultureindex(EIU),Civillibertiesindex(EIU),CONTCORR,EGOB,ESTPOL,CALIREG,RJUE,VOZYREND,IGINI
1,Argentina,ARG,2007-01,0.819162987,0.817,0.843,0.796,0.814,29,2,66.3,9,66.3,87.5,50,55.6,56.3,82.4,-0.3402916,-0.0159589,0.0988585,-0.6682156,-0.5916041,0.4486213,0.437
1,Argentina,ARG,2008-01,0.822705901,0.821,0.845,0.801,0.818,29,2,66.3,9.1,66.3,87.5,50,55.6,56.3,82.4,-0.4355765,-0.1468119,-0.0852222,-0.7375205,-0.6766081,0.3588959,0.413
1,Argentina,ARG,2009-01,0.828782239,0.821,0.848,0.81,0.807,29,2,68.4,11.2,67.35,87.5,53.55,55.6,59.4,80.9,-0.4449961,-0.3182648,-0.2324056,-0.8450356,-0.6754778,0.2800475,0.413
1,Argentina,ARG,2010-01,0.833846509,0.829,0.85,0.818,0.82,29,2,68.4,11.1,68.4,87.5,57.1,55.6,62.5,79.4,-0.3614692,-0.16279,-0.0847979,-0.7623686,-0.590509,0.3616894,0.412
1,Argentina,ARG,2011-01,0.838374618,0.835,0.853,0.824,0.828,30,2,68.4,11.3,68.4,87.5,57.1,55.6,62.5,79.4,-0.3661579,-0.1200561,0.1589937,-0.7222099,-0.5608934,0.3449418,0.406
1,Argentina,ARG,2012-01,0.838337641,0.834,0.855,0.822,0.825,35,2,68.4,12.1,68.4,87.5,57.1,55.6,62.5,79.4,-0.4431399,-0.2385752,0.1030405,-0.9292172,-0.6796814,0.2952099,0.389
1,Argentina,ARG,2013-01,0.839807121,0.835,0.858,0.822,0.827,34,2,68.4,13,68.4,87.5,57.1,55.6,62.5,79.4,-0.432282,-0.2775489,0.0653143,-0.957261,-0.7076761,0.2769879,0.389
1,Argentina,ARG,2014-01,0.842828571,0.836,0.86,0.826,0.822,34,2,70.2,13,68.4,87.5,57.1,55.6,62.5,79.4,-0.5416201,-0.1591353,-0.0051219,-1.074257,-0.8860345,0.3453205,0.391
1,Argentina,ARG,2015-01,0.847358248,0.84,0.863,0.832,0.824,32,2,69.6,14.1,70.2,91.7,50,61.1,68.8,79.4,-0.5470577,-0.0750081,0.0147854,-0.9114419,-0.770812,0.4117875,0.392
1,Argentina,ARG,2016-01,0.849358582,0.839,0.865,0.834,0.819,36,2,69.6,14.2,69.6,91.7,50,61.1,68.8,76.5,-0.2840413,0.1621292,0.2046255,-0.4696253,-0.3936059,0.4933509,0.393
1,Argentina,ARG,2017-01,0.854408567,0.843,0.867,0.842,0.821,39,2,70.2,14.6,69.6,91.7,50,61.1,68.8,76.5,-0.2559502,0.149542,0.1694364,-0.2911722,-0.2456109,0.5279635,0.388
1,Argentina,ARG,2018-01,0.855885506,0.842,0.87,0.842,0.814,40,2,70.2,13.5,70.2,91.7,53.6,61.1,62.5,82.4,-0.0702693,0.0259878,0.0192217,-0.2856962,-0.2428666,0.5616491,0.396
2,Bolivia (Plurinational State of),BOL,2007-01,0.667484831,0.649,0.714,0.624,0.615,29,3,59.8,11.7,60.65,83.3,57.1,47.2,37.5,77.95,-0.4037066,-0.5706812,-0.8503005,-0.9819081,-0.8301125,0.042224,0.586
2,Bolivia (Plurinational State of),BOL,2008-01,0.677637071,0.658,0.722,0.636,0.622,30,3,61.5,11.5,61.5,83.3,57.1,50,37.5,79.4,-0.5232219,-0.6245782,-0.6955554,-0.8709679,-0.9745278,0.0029617,0.513
2,Bolivia (Plurinational State of),BOL,2009-01,0.682986091,0.663,0.73,0.639,0.623,27,3,59.2,13,60.35,81.25,53.55,52.8,37.5,76.45,-0.6303167,-0.6045188,-0.5074582,-0.8793064,-1.10793,0.0069464,0.511
2,Bolivia (Plurinational State of),BOL,2010-01,0.688794599,0.667,0.739,0.642,0.626,28,3,58.4,12.3,59.2,79.2,50,55.6,37.5,73.5,-0.4657613,-0.5023107,-0.4154072,-0.802755,-1.023741,-0.0392689,0.491
2,Bolivia (Plurinational State of),BOL,2011-01,0.692049131,0.671,0.746,0.642,0.63,27.6,3,58.4,11.2,58.4,70,50,61.1,37.5,73.5,-0.5694195,-0.472497,-0.4171265,-0.7557204,-0.9790578,-0.0682378,0.471
2,Bolivia (Plurinational State of),BOL,2012-01,0.696832835,0.675,0.754,0.644,0.633,34,3,57.9,11,58.4,70,50,61.1,37.5,73.5,-0.7292001,-0.3686716,-0.4580681,-0.8235803,-1.016074,-0.0815853,0.474
2,Bolivia (Plurinational State of),BOL,2013-01,0.706552192,0.684,0.761,0.656,0.64,34,3,57.9,10.9,57.9,70,50,55.6,37.5,76.5,-0.5899193,-0.3865935,-0.3285934,-0.7768504,-1.046429,-0.068993,0.48
2,Bolivia (Plurinational State of),BOL,2014-01,0.711955055,0.69,0.768,0.66,0.648,35,3,57.5,11.6,57.9,70,50,55.6,37.5,76.5,-0.6301294,-0.5877074,-0.3331121,-0.8702523,-1.055193,-0.0263198,0.471
2,Bolivia (Plurinational State of),BOL,2015-01,0.717972144,0.697,0.774,0.666,0.657,34,3,56.3,12.5,57.5,70,53.6,50,37.5,76.5,-0.6963719,-0.6519912,-0.2684872,-0.8858231,-1.141064,-0.0046696,0.454
2,Bolivia (Plurinational State of),BOL,2016-01,0.72244723,0.702,0.779,0.67,0.663,33,3,54.9,12.6,56.3,70,53.6,50,37.5,70.6,-0.7243935,-0.5670627,-0.2488664,-0.9240948,-1.200557,-0.036425,0.466
2,Bolivia (Plurinational State of),BOL,2017-01,0.733364848,0.71,0.784,0.686,0.665,33,3,57,12.7,54.9,70,46.4,50,37.5,70.6,-0.6573129,-0.3831694,-0.2780149,-0.8986728,-1.208274,-0.0249492,0.461
2,Bolivia (Plurinational State of),BOL,2018-01,0.737373718,0.714,0.788,0.69,0.67,29,3,48.4,12.7,57,75,46.4,55.6,37.5,70.6,-0.6219789,-0.3220994,-0.2783669,-0.9080035,-1.147712,-0.0396441,0.438
3,Brazil,BRA,2007-01,0.690130422,0.706,0.81,0.588,0.739,35,2,73.8,14.3,73.8,95.8,78.6,44.4,56.3,94.1,-0.0759291,-0.2142833,-0.3569552,-0.0254311,-0.3710029,0.537074,0.543
3,Brazil,BRA,2008-01,0.703931815,0.717,0.815,0.608,0.744,35,2,73.8,14,73.8,95.8,78.6,44.4,56.3,94.1,0.00789,-0.0895778,-0.3125997,0.0539286,-0.315275,0.5689857,0.536
3,Brazil,BRA,2009-01,0.707248188,0.719,0.82,0.61,0.743,37,2,71.2,15.2,72.5,95.8,76.8,47.2,50.05,92.65,-0.0693086,-0.0947754,0.1662922,0.0994606,-0.1565112,0.5220069,0.533
3,Brazil,BRA,2010-01,0.714615281,0.727,0.825,0.619,0.751,37,2,71.2,15,71.2,95.8,75,50,43.8,91.2,0.04628,-0.0353412,0.0134759,0.1524443,0.0440805,0.5713488,0.5295
3,Brazil,BRA,2011-01,0.718512352,0.731,0.83,0.622,0.756,37.7,2,71.2,14.9,71.2,95.8,75,50,43.8,91.2,0.1659021,-0.1165466,-0.1325754,0.1653361,0.0376608,0.5136762,0.526
3,Brazil,BRA,2012-01,0.723707123,0.735,0.834,0.628,0.758,43,2,71.2,15.3,71.2,95.8,75,50,43.8,91.2,-0.0372771,-0.1281734,0.0459616,0.0939019,-0.0694494,0.4779062,0.523
3,Brazil,BRA,2013-01,0.748187142,0.753,0.838,0.668,0.763,42,2,73.8,15.4,71.2,95.8,75,50,43.8,91.2,-0.08471,-0.0928867,-0.2585533,0.0734235,-0.0801801,0.4174263,0.522
3,Brazil,BRA,2014-01,0.753331268,0.756,0.842,0.674,0.761,43,2,69.6,15.9,73.8,95.8,75,44.4,62.5,91.2,-0.3384546,-0.1393555,-0.0702901,-0.0781973,-0.0498579,0.4719279,0.514
3,Brazil,BRA,2015-01,0.756797199,0.756,0.846,0.677,0.755,38,2,69,16.3,69.6,95.8,67.9,55.6,37.5,91.2,-0.3964888,-0.18409,-0.3314581,-0.1926553,-0.1470753,0.4588515,0.511
3,Brazil,BRA,2016-01,0.762495902,0.758,0.85,0.684,0.748,40,2,68.6,17.3,69,95.8,67.9,55.6,37.5,88.2,-0.3814404,-0.1737783,-0.3772054,-0.2073155,-0.1572228,0.4518494,0.532
3,Brazil,BRA,2017-01,0.766627028,0.761,0.853,0.689,0.749,37,2,69.7,17.6,68.6,95.8,53.6,61.1,50,82.4,-0.5320805,-0.2910038,-0.4198374,-0.1144198,-0.2843652,0.4539343,0.533
3,Brazil,BRA,2018-01,0.76842241,0.762,0.857,0.689,0.748,35,2,68.6,17.7,69.7,95.8,53.6,66.7,50,82.4,-0.3999677,-0.4474374,-0.3863459,-0.3239611,-0.2537811,0.3979256,0.54
4,Chile,CHL,2007-01,0.816106611,0.804,0.894,0.745,0.779,70,1,78.9,11.8,78.9,95.8,89.3,50,62.5,97.1,1.396431,1.275488,0.4071552,1.505748,1.28842,1.104882,0.4805
4,Chile,CHL,2008-01,0.82566337,0.814,0.897,0.76,0.79,69,1,78.9,13.5,78.9,95.8,89.3,50,62.5,97.1,1.376727,1.168234,0.4331903,1.518668,1.313308,1.013508,0.47925
4,Chile,CHL,2009-01,0.840466537,0.822,0.901,0.784,0.787,67,1,76.7,15.7,77.8,95.8,87.5,44.45,65.65,95.6,1.380127,1.247791,0.6032314,1.462517,1.296515,1.016847,0.478
4,Chile,CHL,2010-01,0.807891082,0.803,0.904,0.722,0.793,72,1,75.4,14.8,76.7,95.8,85.7,38.9,68.8,94.1,1.497289,1.27253,0.6796045,1.438484,1.33554,1.095609,0.4735
4,Chile,CHL,2011-01,0.82146698,0.815,0.907,0.744,0.802,72.1,1,75.4,14.3,75.4,95.8,85.7,38.9,62.5,94.1,1.528443,1.247598,0.4525534,1.459092,1.365901,1.073909,0.469
4,Chile,CHL,2012-01,0.826686156,0.821,0.91,0.751,0.811,72,1,78,14.6,75.4,95.8,85.7,38.9,62.5,94.1,1.582224,1.264068,0.3311021,1.538509,1.391888,1.076945,0.4675
4,Chile,CHL,2013-01,0.83189783,0.826,0.913,0.758,0.815,71,1,78,14.7,78,95.8,89.3,38.9,68.8,97.1,1.541565,1.264524,0.3637425,1.491449,1.367829,1.106285,0.466
4,Chile,CHL,2014-01,0.846430741,0.837,0.915,0.783,0.818,73,1,78.4,15,78,95.8,89.3,38.9,68.8,97.1,1.488503,1.161332,0.4475169,1.494421,1.43314,1.055915,0.4595
4,Chile,CHL,2015-01,0.852137313,0.842,0.918,0.791,0.821,70,1,77.8,15.8,78.4,95.8,85.7,44.4,68.8,97.1,1.27997,1.086102,0.4334392,1.345232,1.344083,1.004488,0.453
4,Chile,CHL,2016-01,0.857368066,0.845,0.92,0.799,0.821,66,1,78.4,16.1,77.8,95.8,85.7,44.4,68.8,94.1,1.140054,1.010753,0.4131105,1.373064,1.129269,0.9956857,0.4535
4,Chile,CHL,2017-01,0.860980836,0.847,0.922,0.804,0.819,67,1,79.7,16.4,78.4,95.8,85.7,44.4,75,91.2,1.039302,0.8435157,0.4170224,1.335125,1.011737,0.9994025,0.454
4,Chile,CHL,2018-01,0.862449999,0.849,0.924,0.805,0.823,67,1,80.8,16.4,79.7,95.8,85.7,44.4,81.3,91.2,1.046754,1.084034,0.4351017,1.33739,1.089803,1.056807,0.454
5,Colombia,COL,2007-01,0.711957864,0.711,0.842,0.602,0.709,38,3,64,11.4,64.7,91.7,48.6,50,43.8,89.7,-0.2159635,-0.0468053,-1.80328,0.2413717,-0.4358616,-0.1653216,0.561
5,Colombia,COL,2008-01,0.720724635,0.718,0.846,0.614,0.712,38,3.5,65.4,11.3,65.4,91.7,53.6,50,43.8,88.2,-0.2376168,-0.0287408,-1.850909,0.2619745,-0.3967666,-0.1659226,0.572
5,Colombia,COL,2009-01,0.723763083,0.72,0.849,0.617,0.712,37,3.5,65.5,13.3,65.45,91.7,62.5,44.45,40.65,88.2,-0.309453,-0.2459242,-1.831908,0.1482843,-0.3884734,-0.1496109,0.557
5,Colombia,COL,2010-01,0.735392412,0.729,0.853,0.634,0.716,35,3.5,66.3,12.2,65.5,91.7,71.4,38.9,37.5,88.2,-0.385391,-0.0592384,-1.537185,0.2534749,-0.3085898,-0.1323792,0.56
5,Colombia,COL,2011-01,0.739004736,0.734,0.856,0.638,0.724,34.5,3.5,66.3,12.3,66.3,91.7,75,38.9,37.5,88.2,-0.2887937,0.0388793,-1.284656,0.3592378,-0.2558286,-0.0597142,0.549
5,Colombia,COL,2012-01,0.744204273,0.739,0.86,0.644,0.729,36,3.5,65.5,12.4,66.3,91.7,75,38.9,37.5,88.2,-0.3874514,0.022952,-1.40181,0.4006766,-0.353872,-0.0639913,0.539
5,Colombia,COL,2013-01,0.745501174,0.742,0.863,0.644,0.736,36,3.5,65.5,12.8,65.5,91.7,71.4,38.9,37.5,88.2,-0.405205,0.0713581,-1.291972,0.4028929,-0.4058876,-0.0812788,0.54
5,Colombia,COL,2014-01,0.758741063,0.753,0.867,0.664,0.742,37,3.5,66.2,12.9,65.5,91.7,71.4,38.9,37.5,88.2,-0.3686264,-0.1005563,-1.114594,0.4962346,-0.2919019,-0.0433162,0.54
5,Colombia,COL,2015-01,0.76005263,0.756,0.87,0.664,0.747,37,3.5,66.7,13,66.2,91.7,71.4,38.9,43.8,85.3,-0.2981746,-0.0361266,-1.069147,0.4654272,-0.2684166,0.0039271,0.524
5,Colombia,COL,2016-01,0.766504403,0.76,0.873,0.673,0.748,37,3,66.7,12.5,66.7,91.7,71.4,44.4,43.8,82.4,-0.3242517,0.0154443,-0.8824593,0.4020093,-0.2787975,0.1218224,0.521
5,Colombia,COL,2017-01,0.770667243,0.763,0.876,0.678,0.747,37,3,69.6,13.4,66.7,91.7,67.9,44.4,50,79.4,-0.3700264,-0.0738818,-0.7726035,0.3409346,-0.3600142,0.1120687,0.511
5,Colombia,COL,2018-01,0.771985751,0.764,0.879,0.678,0.747,36,3,71.3,12.6,69.6,91.7,67.9,50,56.3,82.4,-0.2874098,-0.0852262,-0.7874593,0.3173888,-0.4063349,0.1903,0.52
6,Costa Rica,CRI,2007-01,0.75096205,0.753,0.898,0.628,0.755,50,1,80.4,8,80.4,95.8,82.1,61.1,68.8,94.1,0.5165263,0.2012671,0.5834517,0.4184185,0.3818599,0.9353473,0.498
6,Costa Rica,CRI,2008-01,0.760131568,0.761,0.9,0.642,0.761,51,1,80.4,8.9,80.4,95.8,82.1,61.1,68.8,94.1,0.5518208,0.2776813,0.3603145,0.4572019,0.460335,0.9667597,0.491
6,Costa Rica,CRI,2009-01,0.765702292,0.762,0.902,0.65,0.756,53,1,80.4,10.1,80.4,95.8,82.1,61.1,68.8,94.1,0.7520683,0.3313352,0.5871099,0.42198,0.5635187,1.005792,0.512
