year;PIBpc;GCF;GCFG;FBK
1990;147882238078.26;105490320957.53;12144357697.11;18363200803.94
1991;150842260189.94;107147896658.49;12539020718.13;16758737154.16
1992;156943723176.91;110399522431.97;13863578763.77;23962467703.65
1993;165395786042.84;117133872195.49;14339819344.45;33116517190.80
1994;175012991811.11;124071672808.96;16523542144.37;41962822165.53
1995;184117933488.87;130825669369.30;17722649328.30;44508244240.58
1996;187903130700.45;132190126267.93;21965345540.40;39158380056.36
1997;194348759914.15;135371580722.86;25426350047.66;38905873357.34
1998;195456128227.00;134279180071.91;25948933373.49;36451637974.16
1999;187239122801.59;127033144119.01;26892823715.01;22370379191.35
2000;192715607785.79;129570158734.30;26817379972.53;25113726849.59
2001;195949179707.51;131576148116.61;27411434016.75;27229296931.77
2002;200855708889.70;134207804058.04;27254920267.58;29971387193.55
2003;208725781697.90;138156617760.91;27751225947.99;33374669140.02
2004;219857173696.31;143494397927.10;29524660548.15;37107026248.78
2005;230473551392.80;149855145738.92;31053258104.58;41364243651.27
2006;245954157224.49;159399714622.86;32672219440.08;48368786063.85
2007;262527027188.67;169844941546.63;34164982099.66;56009628073.19
2008;271146960850.55;176834065123.85;35769823303.59;61097162930.02
2009;274237083517.14;179854879064.69;37473505428.51;57250746177.21
2010;286563105192.46;188942243676.50;39431791175.84;62725116845.86
2011;306473200200.74;199335476505.41;41985769973.84;74339253938.40
2012;318464380248.55;210565771291.19;44004066280.35;76485214872.29
2013;334814320893.88;220308433379.50;47918431504.44;82456128179.79
2014;349877717638.91;229669518970.02;50159119883.20;92312571108.87
2015;360219757906.38;236772084208.74;52592195054.62;91249845845.32
2016;367738922100.33;240521674884.11;53551481493.26;91101503135.73
2017;372737821103.35;245461543598.76;55502265920.69;88160406199.00
2018;382113386673.27;252845134771.67;59404276029.66;89980108569.03
2019;394571111125.16;264097336858.87;61931138687.08;93539625351.71
