dateb	value
04-21	930306187617,90
03-21	746784015747,90
02-21	643008821970,10
01-21	480553055894,40
12-20	327767509170,00
11-20	184682722830,10
10-20	131945447084,80
09-20	101126220212,80
08-20	79061685127,40
07-20	63408630581,90
06-20	53033212824,90
05-20	42404519909,60
04-20	30594008765,70
03-20	23995112795,70
02-20	21174462628,90
01-20	17377625281,20
12-19	10711919274,40
11-19	8144026331,70
10-19	6478423619,20
09-19	5286006314,70
08-19	3472176193,20
07-19	2579165819,70
06-19	2160431069,80
05-19	1769365833,30
04-19	1268517190,90
03-19	948197209,50
02-19	703259098,20
01-19	328067725,10
12-18	110597550,20
11-18	56589583,50
10-18	25355573,70
09-18	13479980,50
08-18	5919047,90
07-18	3362789,70
06-18	1853869,60
05-18	942481,00
04-18	448124,00
03-18	287622,20
02-18	204074,20
01-18	141060,90
12-17	84970,30
11-17	54611,00
10-17	39473,90
09-17	29921,90
08-17	23736,30
07-17	19938,20
06-17	17537,80
05-17	15610,40
04-17	13975,90
03-17	12910,10
02-17	11697,20
01-17	10378,10
12-16	8826,90
11-16	7668,90
10-16	6873,90
09-16	6364,40
08-16	5825,70
07-16	5437,10
06-16	5001,50
05-16	4195,90
04-16	3541,60
03-16	3096,20
02-16	2801,10
01-16	2576,50
12-15	2357,90
11-15	2168,50
10-15	1951,30
09-15	1752,10
08-15	1570,80
07-15	1397,50
06-15	1261,60
05-15	1148,80
04-15	1063,80
03-15	1000,20
02-15	949,10
01-15	904,80
12-14	839,50
11-14	797,30
10-14	761,80
09-14	725,40
08-14	692,40
07-14	666,20
06-14	639,70
05-14	612,60
04-14	579,40
03-14	548,30
02-14	526,80
01-14	514,70
12-13	498,10
11-13	487,30
10-13	464,90
09-13	442,30
08-13	423,70
07-13	411,30
06-13	398,60
05-13	380,70
04-13	358,80
03-13	344,10
02-13	334,80
01-13	329,40
12-12	318,90
11-12	308,10
10-12	301,20
09-12	296,10
08-12	291,50
07-12	288,40
06-12	285,50
05-12	281,50
04-12	277,20
03-12	275,00
02-12	272,60
01-12	269,60
12-11	265,60
11-11	261,00
10-11	255,50
09-11	250,90
08-11	246,90
07-11	241,60
06-11	235,30
05-11	229,60
04-11	223,90
03-11	220,70
02-11	217,60
01-11	213,90
12-10	208,20
11-10	204,50
10-10	201,40
09-10	198,40
08-10	196,20
07-10	193,10
06-10	190,40
05-10	187,00
04-10	182,20
03-10	173,20
02-10	169,10
01-10	166,50
12-09	163,70
11-09	161,00
10-09	158,00
09-09	155,10
08-09	151,30
07-09	148,00
06-09	145,00
05-09	142,50
04-09	139,70
03-09	137,20
02-09	135,60
01-09	133,90
12-08	130,90
11-08	127,60
10-08	124,70
09-08	121,80
08-08	119,40
07-08	117,30
06-08	115,10
05-08	112,40
04-08	108,90
03-08	107,10
02-08	105,30
01-08	103,10
12-07	100,00
11-07	96,80
10-07	92,80
09-07	90,60
08-07	89,40
07-07	88,40
06-07	88,00
05-07	86,50
04-07	85,00
03-07	83,80
02-07	84,40
01-07	83,30
12-06	81,70
11-06	80,20
10-06	79,20
09-06	78,60
08-06	77,10
07-06	75,40
06-06	73,70
05-06	72,30
04-06	71,20
03-06	70,70
02-06	70,40
01-06	70,10
12-05	69,80
11-05	69,30
10-05	68,50
09-05	68,10
08-05	67,10
07-05	66,50
06-05	65,90
05-05	65,50
04-05	63,90
03-05	63,10
02-05	62,30
01-05	62,23
12-04	61,10
11-04	60,10
10-04	59,10
09-04	58,70
08-04	58,40
07-04	57,70
06-04	56,90
05-04	55,80
04-04	55,20
03-04	54,50
02-04	53,30
01-04	52,50
12-03	51,20
11-03	50,30
10-03	49,40
09-03	48,60
08-03	47,90
07-03	47,30
06-03	46,50
05-03	45,90
04-03	44,80
03-03	44,10
02-03	43,80
01-03	41,50
12-02	40,30
11-02	39,90
10-02	39,30
09-02	38,40
08-02	36,80
07-02	35,90
06-02	34,60
05-02	34,00
04-02	33,60
03-02	32,90
02-02	31,60
01-02	31,00
12-01	30,70
11-01	30,50
10-01	30,20
09-01	30,00
08-01	29,60
07-01	29,40
06-01	29,00
05-01	28,70
04-01	28,30
03-01	28,00
02-01	27,70
01-01	27,60
12-00	27,40
11-00	27,10
10-00	26,90
09-00	26,70
08-00	26,20
07-00	26,00
06-00	2,80
05-00	25,50
04-00	25,20
03-00	24,80
02-00	24,60
01-00	24,50
12-99	24,10
11-99	23,70
10-99	23,40
09-99	23,00
08-99	22,80
07-99	22,50
06-99	22,10
05-99	21,80
04-99	21,40
03-99	21,10
02-99	20,90
01-99	20,50
12-98	20,90
11-98	19,76
10-98	19,46
09-98	18,99
08-98	18,66
07-98	18,28
06-98	17,91
05-98	17,68
04-98	17,12
03-98	16,57
02-98	16,13
01-98	15,78
12-97	15,47
11-97	15,08
10-97	14,67
09-97	14,14
08-97	13,67
07-97	13,24
06-97	12,88
05-97	12,65
04-97	12,27
03-97	11,98
02-97	11,80
01-97	11,54
12-96	11,24
11-96	10,92
10-96	10,59
09-96	10,16
08-96	9,81
07-96	9,42
06-96	8,97
05-96	8,38
04-96	7,44
03-96	6,85
02-96	6,46
01-96	5,98
12-95	5,53
11-95	5,22
10-95	4,94
09-95	4,72
08-95	4,57
07-95	4,43
06-95	4,31
05-95	4,20
04-95	4,00
03-95	3,85
02-95	3,73
01-95	3,64
12-94	3,53
11-94	3,41
10-94	3,27
09-94	3,11
08-94	2,99
07-94	2,84
06-94	2,67
05-94	2,45
04-94	2,33
03-94	2,26
02-94	2,20
01-94	2,16
12-93	2,07
11-93	2,00
10-93	1,93
09-93	1,83
08-93	1,77
07-93	1,72
06-93	1,67
05-93	1,62
04-93	1,57
03-93	1,53
02-93	1,50
01-93	1,46
12-92	1,42
11-92	1,38
10-92	1,35
09-92	1,32
08-92	1,29
07-92	1,26
06-92	1,23
05-92	1,20
04-92	1,17
03-92	1,14
02-92	1,12
01-92	1,09
12-91	1,07
11-91	1,05
10-91	1,02
09-91	1,00
08-91	0,98
07-91	0,96
06-91	0,93
05-91	0,91
04-91	0,89
03-91	0,87
02-91	0,85
01-91	0,84
12-90	0,82
11-90	0,79
10-90	0,77
09-90	0,75
08-90	0,74
07-90	0,72
06-90	0,69
05-90	0,67
04-90	0,65
03-90	0,64
02-90	0,63
01-90	0,61
12-89	0,60
11-89	0,59
10-89	0,59
09-89	0,57
08-89	0,55
07-89	0,54
06-89	0,52
