country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,42.93,45.15,39.32,39.71,43.33,44.08,39.34,40.28,35.1,33.65,47.12,47.6,55.29
Bolivia,39.02,39.81,35.92,28.71,39.05,34.12,27.01,34.6,30.29,26.92,25,28.37,28.85
Brasil,54.15,55.34,59.22,56.46,60,63.03,58.29,55.92,46.63,42.79,42.79,36.06,40.38
Chile,91.22,90.78,90.78,89.47,90.48,90.05,91,90.52,90.87,87.5,82.69,82.21,82.21
Colombia,53.66,51.46,50.49,46.89,42.38,49.29,43.13,42.18,44.23,47.6,44.71,43.75,45.19
Costa Rica,70.24,71.84,73.3,73.68,72.86,72.51,72.51,72.04,75,75.96,76.44,66.83,70.67
Cuba,63.9,66.02,64.56,66.03,65.71,64.45,63.51,61.61,58.65,60.1,62.02,64.42,61.06
Republica Dominicana,27.8,25.24,26.7,23.92,20.95,21.8,19.91,21.33,23.08,21.15,23.08,24.52,24.52
Ecuador,24.39,23.3,28.64,22.49,22.86,24.64,34.12,35.07,25,28.37,27.4,30.77,32.21
El Salvador,45.37,41.75,43.2,50.72,48.1,50.71,42.18,45.02,43.27,42.31,33.65,37.98,29.81
Guatemala,22.44,26.21,30.58,35.89,35.71,36.49,29.38,32.23,27.4,25,24.04,24.04,22.12
Honduras,20.98,22.33,18.45,19.62,19.52,21.33,17.54,18.01,23.56,32.69,29.81,25.48,29.33
Mexico,47.32,49.03,50,47.85,42.86,41.71,42.65,37.44,24.52,24.04,25.96,16.35,19.23
Nicaragua,29.27,23.79,24.76,25.36,24.29,23.7,25.12,25.59,19.71,18.75,18.27,18.27,12.5
Panama,43.41,48.06,54.85,48.33,47.14,48.34,45.02,45.5,46.15,44.23,35.58,35.1,32.69
Paraguay,9.76,8.74,16.5,22.97,25.71,24.17,20.38,14.22,15.38,15.87,26.92,25,21.15
Peru,50.73,50,53.4,47.37,51.9,52.13,43.6,41.23,34.13,34.62,43.27,38.94,34.62
Uruguay,83.9,85.92,88.35,85.65,86.19,86.26,88.63,89.57,89.9,89.42,88.46,88.46,87.5
Venezuela,15.12,11.17,9.71,9.09,7.62,10.43,7.58,5.69,4.33,4.33,6.73,7.21,4.81
