country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,55.12,53.4,50.49,45.93,49.28,49.76,46.92,45.97,46.63,50,60.1,58.65,54.81
Bolivia,27.8,32.04,31.55,33.49,37.8,39.81,43.13,43.13,28.85,29.33,33.17,37.98,39.9
Brasil,43.9,48.06,52.43,51.67,54.07,50.71,49.76,50.71,47.6,48.08,46.63,41.83,36.06
Chile,82.44,87.38,84.47,85.17,86.6,85.31,86.26,86.73,84.62,83.17,79.33,77.88,81.73
Colombia,50.24,52.43,54.37,48.8,51.67,56.4,57.35,57.82,49.52,52.4,53.37,51.44,50
Costa Rica,56.1,60.68,64.08,64.59,64.59,64.45,68.72,68.25,68.75,66.83,67.31,62.02,67.79
Cuba,48.29,49.51,42.72,44.02,43.06,43.13,42.18,39.81,52.88,54.33,50,45.67,44.71
Republica Dominicana,34.15,28.16,32.04,33.01,31.1,32.7,37.44,38.39,37.5,41.35,43.27,38.46,39.42
Ecuador,15.61,18.93,19.9,23.92,27.75,33.65,37.91,36.02,35.58,38.46,37.5,39.9,42.79
El Salvador,51.71,49.03,49.51,53.59,56.46,52.13,50.24,49.29,54.33,45.67,42.31,38.94,36.54
Guatemala,33.17,33.01,35.44,27.27,28.71,27.49,26.07,28.44,23.56,24.52,30.77,26.92,23.56
Honduras,30.73,33.5,32.52,28.23,31.58,37.44,27.49,25.59,21.15,20.19,23.08,34.13,27.88
Mexico,58.05,58.74,60.68,60.29,60.29,63.51,63.51,63.03,61.54,61.54,58.65,52.4,47.6
Nicaragua,20.98,16.5,16.99,16.75,16.75,18.48,20.85,23.22,19.23,20.67,24.52,28.37,19.23
Panama,56.59,58.25,58.25,59.33,59.81,57.82,62.56,62.56,62.98,65.38,61.06,54.33,51.92
Paraguay,18.05,19.42,17.48,19.14,18.66,20.38,21.33,21.33,17.31,17.31,20.67,19.71,34.13
Peru,28.78,35.44,44.66,41.63,48.33,48.34,49.29,49.76,44.23,44.23,45.67,48.56,44.23
Uruguay,66.34,70.87,67.96,70.33,70.81,69.67,66.82,66.82,71.15,72.6,73.08,68.27,73.08
Venezuela,14.15,14.56,11.65,14.83,11.96,9.95,12.8,12.32,11.06,10.58,8.17,7.69,4.81
