fecha,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,45.89,46.86,40.87,36.97,42.65,52.13,49.29,48.34,45.71,46.19,52.86,53.33,47.62
Bolivia,22.71,19.32,23.56,27.49,32.23,33.18,33.18,36.49,33.33,36.67,36.67,34.29,37.14
Brasil,35.27,32.85,33.65,51.18,45.97,41.23,46.45,36.97,42.86,34.29,31.9,30.48,32.38
Chile,64.73,58.94,58.65,66.82,68.25,62.09,57.82,59.72,60,60,60.48,61.9,60.95
Colombia,3.86,7.25,5.77,5.21,8.53,12.32,8.06,10.43,10.95,12.86,16.19,17.62,19.52
Costa Rica,69.08,66.67,55.77,65.88,70.14,63.03,67.77,67.77,65.24,67.62,67.62,66.19,62.86
Cuba,60.39,60.87,63.46,56.4,56.87,55.45,57.35,60.19,63.33,66.19,70,68.1,67.62
Republica Dominicana,42.03,40.1,42.79,44.55,44.55,46.92,54.98,54.98,50.95,54.76,55.24,52.86,48.1
Ecuador,20.77,20.29,20.67,23.22,26.07,25.59,27.49,39.34,45.24,40.95,44.29,41.43,43.33
El Salvador,40.58,43,45.19,44.08,48.34,49.76,54.5,45.5,43.81,44.76,42.86,35.71,32.86
Guatemala,24.64,21.74,22.12,18.96,20.85,23.22,25.12,23.7,23.81,22.86,25.24,23.81,28.57
Honduras,26.09,29.95,28.37,33.18,28.44,34.12,36.49,31.75,28.1,29.05,30.48,26.67,29.05
Mexico,26.57,23.67,19.23,22.27,23.22,26.07,24.64,23.22,17.62,21.43,23.81,20.48,25.71
Nicaragua,36.71,39.61,37.5,33.65,27.96,38.39,36.97,37.91,43.33,43.33,43.81,44.29,14.76
Panama,43,41.55,40.38,47.39,41.71,45.97,39.81,41.23,54.29,59.05,60,60.95,56.19
Paraguay,23.19,23.19,21.15,19.91,21.33,25.12,19.91,22.75,42.38,48.57,50.48,46.19,44.29
Peru,21.74,20.77,17.31,13.74,16.59,21.8,19.43,20.38,27.14,32.38,38.1,36.19,37.62
Uruguay,75.36,77.29,75.96,73.46,74.88,78.67,69.67,71.56,83.81,85.24,90,87.14,87.62
Venezuela,13.53,12.56,11.54,12.32,12.32,15.64,17.54,16.59,18.1,15.71,13.81,10.95,10
