fecha,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,26.47,25.73,23.3,22.49,23.92,25.59,20.85,18.01,12.5,17.31,33.65,41.35,42.31
Bolivia,19.61,16.99,18.93,21.05,23.44,24.17,22.75,24.17,20.67,19.23,17.31,16.35,15.38
Brasil,53.92,53.4,54.37,54.55,55.02,55.92,55.45,54.5,51.44,48.08,46.63,51.44,39.9
Chile,92.16,92.23,92.72,92.34,91.39,91.47,92.42,91.94,91.83,88.94,89.9,88.94,88.46
Colombia,55.39,58.25,59.71,55.98,58.85,61.61,64.45,63.98,67.79,68.75,67.31,65.87,64.42
Costa Rica,63.24,64.56,64.08,65.07,66.51,66.35,70.62,69.67,68.27,69.71,67.79,69.23,68.75
Cuba,6.86,4.37,3.88,3.83,3.35,3.32,3.79,3.79,7.69,7.69,6.73,7.69,6.25
Republica Dominicana,47.06,47.57,48.54,47.37,48.8,46.45,48.82,51.18,51.92,52.88,53.37,52.88,52.88
Ecuador,13.73,12.62,14.08,6.22,10.05,15.64,17.06,19.91,15.87,11.54,12.98,14.42,16.83
El Salvador,54.9,57.77,57.28,62.2,61.72,67.3,59.72,61.14,63.46,59.62,57.21,47.6,57.21
Guatemala,46.08,48.06,50.49,48.33,48.33,49.29,46.92,45.97,47.12,47.12,47.12,41.83,46.63
Honduras,34.8,44.17,45.15,43.54,45.45,48.82,45.97,46.92,37.5,38.94,30.77,35.1,35.58
Mexico,62.75,63.59,62.62,57.89,58.37,58.29,67.77,67.3,66.83,64.9,64.42,61.54,61.06
Nicaragua,37.25,34.95,38.35,37.32,42.11,41.71,42.65,43.6,37.98,39.42,32.21,27.4,24.52
Panama,60.78,62.62,68.93,62.68,63.16,64.45,62.56,63.03,65.38,64.42,66.35,66.35,65.87
Paraguay,23.53,29.13,33.5,35.89,40.19,38.39,41.71,42.65,43.27,44.71,42.31,44.23,52.4
Peru,56.86,60.19,63.11,63.64,65.07,66.82,68.25,66.35,68.75,69.23,69.71,67.31,69.23
Uruguay,62.25,59.71,58.74,63.16,63.64,64.93,65.88,68.72,69.23,67.31,69.23,73.56,70.19
Venezuela,11.76,5.83,5.34,4.31,3.83,6.16,4.74,2.84,2.88,2.4,2.4,2.4,0
