country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,34.45,34.45,27.88,30.81,33.18,33.33,30.99,29.58,18.75,24.04,37.5,46.15,45.67
Bolivia,23.92,22.49,17.31,14.22,15.17,16.9,15.96,15.02,12.98,10.58,9.62,9.62,9.62
Brasil,44.02,43.54,46.15,50.71,55.92,56.34,53.05,52.58,56.25,51.44,49.04,43.27,44.71
Chile,89.47,88.04,88.46,88.15,88.15,88.73,88.73,87.79,87.98,87.02,85.1,81.73,83.17
Colombia,38.76,40.67,41.83,43.13,45.97,47.42,45.07,41.78,44.71,46.63,43.75,40.38,38.46
Costa Rica,63.64,60.77,63.94,66.35,65.4,62.91,65.73,66.67,72.12,69.71,68.27,67.79,69.23
Cuba,25.84,29.19,22.6,28.44,28.91,30.05,29.11,30.05,29.81,28.37,34.62,35.1,35.1
Republica Dominicana,33.97,32.06,30.77,26.07,24.64,26.29,30.05,36.62,39.42,35.1,37.02,36.06,39.9
Ecuador,14.83,14.35,10.58,9,10.9,10.8,12.68,17.37,12.02,13.94,25,25.48,28.37
El Salvador,32.06,31.1,30.29,27.49,24.17,29.11,29.58,33.8,36.54,31.73,26.92,20.19,19.71
Guatemala,12.92,12.92,12.5,16.11,17.54,15.49,15.02,13.62,15.38,16.35,14.9,12.98,15.38
Honduras,16.27,19.62,18.27,18.96,21.8,18.78,11.74,11.74,16.35,16.83,11.06,14.42,16.35
Mexico,41.63,37.8,29.81,35.55,35.55,34.27,37.09,35.68,37.98,38.46,31.73,31.73,28.85
Nicaragua,26.32,23.92,24.04,23.7,23.7,28.64,28.64,31.46,27.4,26.44,29.81,29.33,13.46
Panama,50.24,50.72,50.48,53.55,52.61,55.87,49.77,47.89,55.29,53.85,56.25,54.33,51.92
Paraguay,17.22,16.27,19.71,19.91,22.75,23,22.54,23.47,28.37,28.85,25.48,28.85,32.69
Peru,28.23,26.79,25.96,32.7,34.12,31.92,34.74,34.74,34.13,37.5,34.13,33.17,32.21
Uruguay,66.51,68.42,69.71,70.14,71.09,70.42,67.61,67.14,75.96,75,73.56,72.12,73.08
Venezuela,5.26,2.39,1.92,2.37,1.42,1.41,0.47,0.47,0.48,0.48,0.48,0.48,0.48
