country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,58.17,58.65,58.17,56.4,58.29,58.22,57.28,56.81,59.11,60.1,63.55,65.52,66.5
Bolivia,49.52,47.6,48.08,48.82,47.39,46.48,45.54,46.48,48.28,46.8,45.32,45.32,44.33
Brasil,61.06,63.94,63.94,62.56,65.88,63.38,62.91,60.56,62.07,62.07,62.07,61.58,60.59
Chile,86.06,85.1,80.29,79.15,82.94,82.63,83.1,84.51,80.79,79.31,77.83,79.31,82.27
Colombia,40.87,42.31,42.79,42.65,42.65,46.95,46.01,45.54,47.78,47.78,49.75,49.26,52.71
Costa Rica,75.48,75,76.92,77.73,80.57,81.22,83.57,83.1,85.22,86.21,84.73,84.73,84.73
Cuba,2.88,3.37,3.85,4.27,6.16,6.1,6.57,6.57,6.4,6.4,6.9,7.39,9.36
Republica Dominicana,53.85,54.33,52.88,51.66,51.18,52.58,55.4,53.99,54.19,52.22,52.71,52.22,51.23
Ecuador,37.98,43.27,40.38,39.34,38.86,37.09,38.5,40.38,39.9,39.41,38.42,40.89,47.29
El Salvador,51.44,50.48,50.96,49.76,50.71,50.7,46.95,47.42,51.23,51.72,53.2,51.72,48.77
Guatemala,41.35,41.83,41.35,39.81,36.49,36.62,35.68,36.15,36.95,35.96,36.95,37.44,35.47
Honduras,42.31,40.38,37.5,30.33,31.75,31.92,33.33,31.46,33.99,31.53,32.51,32.51,31.53
Mexico,51.92,52.4,51.92,55.45,54.98,53.05,53.99,53.05,48.77,44.33,43.84,42.86,46.31
Nicaragua,40.38,39.42,34.62,34.12,33.18,29.58,30.52,33.8,34.48,32.51,28.08,27.09,18.72
Panama,66.35,66.83,66.83,67.3,64.93,64.79,62.44,61.03,63.55,66.01,64.53,65.02,67.98
Paraguay,37.5,42.79,44.71,43.6,45.97,46.01,44.6,44.6,45.32,44.83,44.33,44.33,49.75
Peru,50.96,51.44,52.4,51.18,52.61,53.52,54.46,52.11,54.68,54.68,55.17,55.17,55.17
Uruguay,81.25,81.73,82.69,85.78,87.2,85.45,81.69,83.57,83.25,85.71,86.7,86.7,89.66
Venezuela,30.29,26.44,26.44,24.64,24.17,20.66,22.07,22.07,19.7,19.7,17.24,14.29,10.34
