		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Aruba	ABW	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.77	0.32	1.00	73.89	62.56	86.70	0.87	0.21	1.00	75.00	65.20	83.82	0.86	0.31	1.00	75.49	61.27	91.18	0.88	0.37	1.00	77.18	59.71	91.26	0.89	0.38	1.00	78.64	59.71	92.72	1.29	0.33	2.00	86.60	73.68	99.52	1.35	0.35	2.00	87.08	75.60	100.00	1.32	0.36	2.00	87.68	75.83	99.53	1.41	0.34	2.00	90.52	76.78	100.00	1.43	0.33	2.00	90.52	77.25	100.00	1.25	0.35	2.00	88.46	73.08	97.12	1.37	0.34	2.00	90.38	76.44	99.04	1.35	0.36	2.00	88.94	75.48	98.08	1.19	0.35	2.00	84.13	72.12	94.71	0.86	0.37	2.00	77.88	62.50	90.38	0.86	0.36	2.00	75.96	63.46	90.87
Andorra	ADO	1.27	0.39	1.00	88.04	69.57	98.91	1.30	0.45	1.00	89.64	68.91	98.96	1.28	0.43	1.00	88.21	70.77	98.97	1.47	0.37	1.00	91.33	75.51	100.00	1.45	0.28	1.00	90.31	78.57	99.49	1.42	0.32	1.00	89.16	77.83	99.51	1.36	0.21	1.00	90.69	78.43	99.02	1.35	0.31	1.00	91.18	73.53	99.51	1.38	0.37	1.00	90.78	73.79	99.51	1.40	0.38	1.00	90.78	73.79	100.00	1.41	0.41	1.00	91.39	73.68	100.00	1.39	0.46	1.00	89.95	71.29	100.00	1.62	0.46	1.00	94.31	76.30	100.00	1.57	0.50	1.00	93.84	74.41	100.00	1.57	0.50	1.00	92.89	73.46	100.00	0.89	0.51	1.00	77.88	54.33	94.23	0.91	0.46	1.00	78.37	57.21	92.79	0.87	0.49	1.00	78.37	55.29	92.31	1.21	0.47	1.00	85.58	68.75	98.08	1.19	0.49	1.00	85.58	65.87	98.08	1.23	0.49	1.00	86.06	66.83	99.52
Afghanistan	AFG	-2.09	0.39	1.00	1.63	0.00	5.98	-2.09	0.45	1.00	2.59	0.00	7.77	-2.11	0.43	1.00	1.54	0.00	8.21	-1.80	0.31	2.00	3.06	0.00	7.14	-1.43	0.24	2.00	5.61	2.55	15.31	-1.51	0.22	4.00	5.42	1.97	11.82	-1.64	0.18	4.00	3.43	1.47	8.33	-1.67	0.22	5.00	2.94	1.96	8.82	-1.69	0.24	4.00	2.91	1.94	8.74	-1.62	0.21	5.00	3.40	2.43	7.77	-1.67	0.19	6.00	3.35	1.91	5.74	-1.53	0.19	6.00	5.26	2.39	8.13	-1.54	0.18	6.00	4.27	2.37	9.00	-1.19	0.18	8.00	10.90	4.74	21.80	-1.19	0.18	9.00	10.90	5.69	21.80	-1.12	0.19	9.00	11.06	5.29	24.52	-1.00	0.19	9.00	14.42	6.73	27.88	-1.33	0.20	9.00	7.21	3.85	12.98	-1.34	0.19	9.00	6.73	3.37	13.46	-1.13	0.19	9.00	10.58	6.25	18.75	-1.12	0.19	9.00	10.10	6.25	19.71
Angola	AGO	-1.42	0.31	4.00	7.61	1.63	20.11	-1.69	0.27	6.00	5.70	1.55	9.84	-1.80	0.26	5.00	4.10	0.00	8.72	-1.46	0.22	6.00	6.63	2.55	12.24	-1.21	0.18	7.00	11.22	3.57	18.37	-1.25	0.18	8.00	9.85	4.93	16.26	-1.26	0.16	8.00	10.29	4.41	16.67	-1.13	0.18	9.00	13.24	6.86	21.08	-1.02	0.18	8.00	16.50	6.31	22.33	-1.07	0.18	8.00	16.02	6.31	21.36	-1.03	0.17	9.00	15.31	5.74	24.40	-1.04	0.16	10.00	16.27	7.18	23.44	-1.10	0.16	10.00	12.32	6.64	22.27	-0.97	0.18	9.00	18.48	9.00	27.49	-1.05	0.18	10.00	15.64	7.58	24.17	-0.99	0.18	10.00	16.83	7.69	27.40	-0.91	0.18	9.00	17.79	9.62	28.85	-1.00	0.18	9.00	13.46	7.69	25.00	-1.04	0.18	9.00	12.50	6.73	23.08	-0.88	0.18	9.00	16.35	9.62	29.81	-0.89	0.17	10.00	16.35	9.62	29.33
Anguilla	AIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.92	0.32	1.00	78.33	64.53	89.16	1.11	0.21	1.00	82.84	71.08	90.69	1.35	0.31	1.00	91.18	73.53	99.51	1.38	0.37	1.00	90.78	73.79	99.51	1.40	0.38	1.00	90.78	73.79	100.00	1.41	0.41	1.00	91.39	73.68	100.00	1.39	0.46	1.00	89.95	71.29	100.00	1.37	0.46	1.00	90.05	71.09	100.00	1.33	0.50	1.00	88.63	68.25	100.00	1.33	0.50	1.00	89.10	67.77	100.00	0.89	0.51	1.00	77.88	54.33	94.23	0.91	0.46	1.00	78.37	57.21	92.79	0.87	0.49	1.00	78.37	55.29	92.31	0.84	0.47	1.00	77.88	57.21	91.83	0.82	0.49	1.00	77.40	56.25	92.31	0.85	0.49	1.00	75.48	57.21	94.23
Albania	ALB	-0.47	0.33	4.00	30.43	15.76	57.61	-0.17	0.30	5.00	44.56	24.35	64.77	-0.25	0.28	6.00	40.51	22.05	60.00	-0.22	0.23	7.00	45.41	28.57	58.67	-0.45	0.19	7.00	38.27	21.43	50.00	-0.17	0.19	8.00	48.77	34.98	58.13	-0.37	0.16	9.00	43.63	25.98	51.96	-0.10	0.18	10.00	51.47	40.20	56.86	0.06	0.18	10.00	55.34	47.57	62.14	0.15	0.18	10.00	55.83	51.46	63.59	0.24	0.17	10.00	58.37	52.63	66.51	0.23	0.17	10.00	57.89	51.67	67.94	0.23	0.16	11.00	57.35	52.61	67.77	0.20	0.17	12.00	57.35	50.71	67.30	0.21	0.17	12.00	57.82	51.18	67.77	0.22	0.18	11.00	60.10	51.44	68.27	0.19	0.17	11.00	59.13	49.52	68.75	0.19	0.18	10.00	60.58	50.96	68.27	0.22	0.18	9.00	62.02	52.40	71.15	0.27	0.21	8.00	63.46	52.40	73.08	0.27	0.18	9.00	63.94	53.37	71.63
Netherlands Antilles (former)	ANT	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.65	0.32	1.00	69.95	57.64	83.74	0.87	0.21	1.00	75.00	65.20	83.82	0.86	0.31	1.00	75.49	61.27	91.18	0.88	0.37	1.00	77.18	59.71	91.26	0.89	0.38	1.00	78.64	59.71	92.72	0.91	0.41	1.00	77.03	57.89	94.26	0.89	0.46	1.00	77.51	54.55	94.74	0.88	0.46	1.00	77.73	54.98	94.79	0.85	0.50	1.00	76.78	53.08	95.26	0.85	0.50	1.00	76.78	53.55	94.79	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
United Arab Emirates	ARE	0.69	0.31	4.00	71.74	61.96	84.24	0.62	0.34	4.00	72.54	55.44	86.01	0.73	0.32	4.00	75.38	60.00	86.67	1.12	0.25	5.00	83.16	70.92	91.33	0.67	0.20	5.00	70.92	65.31	78.57	0.80	0.20	6.00	74.88	65.52	80.79	0.65	0.17	6.00	69.61	62.25	76.47	0.63	0.21	6.00	70.10	58.82	77.45	0.61	0.22	6.00	68.93	58.25	79.13	0.57	0.22	6.00	67.48	56.80	78.64	0.44	0.20	7.00	65.55	55.50	73.68	0.32	0.20	7.00	60.77	53.11	74.16	0.45	0.19	9.00	65.88	55.45	75.83	0.68	0.20	9.00	73.46	60.66	79.62	0.78	0.20	9.00	74.88	65.40	82.46	0.99	0.21	9.00	80.29	72.60	89.42	1.11	0.20	9.00	82.69	74.52	91.35	0.97	0.20	9.00	80.29	72.60	87.02	1.01	0.20	9.00	80.77	74.52	88.94	0.93	0.20	9.00	79.81	73.08	86.06	0.98	0.20	9.00	78.37	73.08	87.50
