		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Aruba	ABW	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.93	0.35	1.00	80.86	61.24	91.87	0.86	0.37	1.00	78.47	58.85	90.91	0.82	0.41	1.00	73.21	57.42	90.43	0.84	0.38	1.00	77.03	58.85	89.95	0.86	0.36	1.00	77.88	59.13	89.90	1.43	0.23	2.00	89.57	82.94	96.68	1.42	0.23	3.00	90.05	82.46	96.68	1.33	0.22	3.00	87.79	79.81	92.96	1.32	0.23	3.00	86.85	78.87	92.49	1.30	0.23	3.00	86.85	77.93	92.49	1.04	0.28	3.00	81.73	72.60	88.46	1.26	0.26	3.00	85.58	77.40	91.35	1.26	0.25	3.00	87.02	78.37	91.83	1.33	0.22	3.00	87.02	80.29	93.27	1.30	0.21	3.00	87.02	78.85	91.83	1.26	0.21	3.00	86.54	78.85	91.83
Andorra	ADO	1.16	0.39	2.00	86.43	63.32	96.98	1.21	0.37	2.00	85.00	70.00	97.00	1.31	0.31	2.00	86.63	74.26	95.54	1.25	0.36	2.00	86.14	69.80	96.04	1.09	0.34	2.00	84.16	66.34	93.07	1.21	0.33	2.00	87.08	70.33	94.74	0.98	0.35	2.00	81.82	61.72	91.39	0.87	0.36	2.00	75.60	59.81	89.95	1.18	0.36	2.00	87.08	67.94	94.74	1.20	0.33	2.00	86.54	70.19	93.75	1.22	0.36	2.00	87.20	66.82	97.16	1.20	0.38	2.00	86.73	66.35	97.16	1.41	0.37	2.00	89.20	74.18	100.00	1.41	0.36	2.00	89.20	73.71	100.00	1.41	0.35	2.00	88.73	73.71	100.00	1.64	0.52	1.00	90.38	76.92	100.00	1.58	0.50	1.00	89.90	75.48	100.00	1.58	0.51	1.00	90.87	75.48	100.00	1.60	0.48	1.00	90.38	77.40	100.00	1.61	0.48	1.00	90.87	77.40	100.00	1.58	0.50	1.00	90.87	76.92	100.00
Afghanistan	AFG	-1.79	0.35	3.00	1.51	0.00	12.56	-1.74	0.33	3.00	2.00	0.00	11.00	-1.78	0.29	3.00	1.49	0.00	8.91	-1.67	0.30	4.00	1.98	0.00	10.89	-1.55	0.30	4.00	3.96	0.00	15.35	-1.70	0.22	6.00	2.87	0.00	7.66	-1.66	0.21	7.00	1.91	0.00	8.61	-1.86	0.20	9.00	0.48	0.00	3.83	-1.83	0.25	8.00	0.96	0.00	5.26	-1.86	0.22	9.00	0.48	0.00	3.85	-1.85	0.18	10.00	0.95	0.00	2.37	-1.85	0.18	10.00	0.47	0.00	2.37	-1.90	0.17	10.00	0.47	0.00	1.88	-1.64	0.17	11.00	1.41	0.00	5.63	-1.60	0.16	12.00	1.41	0.00	7.51	-1.45	0.17	11.00	4.33	0.96	9.13	-1.50	0.17	11.00	3.37	0.96	7.69	-1.50	0.17	11.00	5.77	2.40	9.13	-1.57	0.16	11.00	4.81	1.44	8.17	-1.67	0.16	11.00	4.33	1.44	6.73	-1.71	0.16	11.00	4.33	0.96	5.29
Angola	AGO	-1.63	0.21	6.00	3.52	0.00	10.05	-1.70	0.21	8.00	2.50	0.50	6.50	-1.66	0.18	8.00	1.98	0.50	6.93	-1.62	0.19	9.00	2.97	0.00	7.92	-1.52	0.19	10.00	4.46	0.00	10.89	-1.50	0.17	12.00	5.74	0.96	11.00	-1.43	0.16	12.00	7.18	1.44	11.96	-1.30	0.16	14.00	9.09	2.39	13.88	-1.37	0.16	13.00	6.22	1.44	12.92	-1.37	0.16	14.00	7.21	1.92	12.02	-1.23	0.14	15.00	10.43	4.27	17.06	-1.27	0.14	16.00	9.00	3.32	14.69	-1.27	0.13	16.00	9.86	1.88	14.55	-1.27	0.14	15.00	8.45	2.35	15.02	-1.27	0.13	16.00	8.92	3.29	14.55	-1.12	0.14	14.00	11.06	6.25	18.75	-1.08	0.15	13.00	12.50	5.77	20.67	-1.09	0.17	12.00	12.50	8.17	19.23	-1.10	0.16	11.00	11.54	7.69	20.19	-1.05	0.15	11.00	14.42	7.21	21.63	-1.05	0.15	12.00	13.46	6.73	20.67
Anguilla	AIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.16	0.35	1.00	86.12	67.46	94.74	1.64	0.37	1.00	93.30	83.25	100.00	1.60	0.41	1.00	92.34	78.47	100.00	1.64	0.38	1.00	92.82	82.30	100.00	1.67	0.36	1.00	92.79	83.65	100.00	1.40	0.40	1.00	89.10	71.09	100.00	1.38	0.41	1.00	88.63	69.67	100.00	1.36	0.41	1.00	88.26	69.01	100.00	1.36	0.40	1.00	88.26	71.36	100.00	1.37	0.39	1.00	88.26	72.77	100.00	0.02	0.52	1.00	59.13	20.67	77.88	-0.04	0.50	1.00	56.73	19.23	75.96	-0.08	0.51	1.00	51.92	17.31	75.96	-0.10	0.48	1.00	51.44	17.79	75.96	-0.10	0.48	1.00	51.44	17.79	75.00	0.36	0.50	1.00	63.46	35.10	85.58
Albania	ALB	-0.68	0.25	6.00	28.64	16.58	42.21	-0.92	0.24	7.00	19.50	8.00	32.50	-1.01	0.21	9.00	18.81	7.43	29.70	-0.76	0.20	10.00	27.23	14.85	38.61	-0.72	0.20	10.00	28.22	15.35	41.09	-0.69	0.18	11.00	28.71	17.22	39.71	-0.74	0.18	12.00	28.71	16.27	38.76	-0.68	0.15	14.00	28.71	20.10	41.15	-0.65	0.15	14.00	30.62	20.10	42.11	-0.59	0.15	14.00	34.62	21.63	42.31	-0.50	0.14	14.00	38.39	27.96	45.97	-0.41	0.13	15.00	41.23	31.28	49.29	-0.46	0.13	16.00	41.31	30.05	47.89	-0.52	0.12	17.00	39.44	28.64	46.01	-0.52	0.13	16.00	39.44	27.70	45.54	-0.34	0.13	14.00	43.27	32.69	52.40	-0.33	0.14	14.00	44.23	32.69	53.85	-0.33	0.15	12.00	41.83	31.25	51.92	-0.40	0.14	12.00	38.94	29.33	48.08	-0.39	0.15	11.00	38.94	28.85	48.08	-0.41	0.14	12.00	38.94	27.40	47.12
Netherlands Antilles (former)	ANT	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.93	0.35	1.00	80.86	61.24	91.87	0.86	0.37	1.00	78.47	58.85	90.91	0.82	0.41	1.00	73.21	57.42	90.43	0.84	0.38	1.00	77.03	58.85	89.95	0.73	0.35	2.00	72.12	58.17	87.50	0.85	0.39	2.00	74.88	61.14	90.05	0.85	0.41	1.00	76.78	60.66	90.52	0.84	0.41	1.00	76.06	60.09	90.14	0.84	0.40	1.00	75.59	59.62	90.14	0.85	0.39	1.00	76.53	59.62	90.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
United Arab Emirates	ARE	0.69	0.22	5.00	68.84	62.31	82.41	0.75	0.23	5.00	73.50	64.50	84.00	0.68	0.19	6.00	72.77	63.37	81.19	0.73	0.20	7.00	73.27	63.86	82.18	0.57	0.21	7.00	67.82	60.89	78.71	0.44	0.18	8.00	64.11	58.37	72.25	0.40	0.18	8.00	61.24	55.98	70.33	0.32	0.18	9.00	60.77	54.55	66.99	0.29	0.18	9.00	59.33	53.11	67.46	0.42	0.18	9.00	62.98	58.17	71.15	0.40	0.16	11.00	63.03	59.72	68.72	0.32	0.16	11.00	62.56	56.87	66.35	0.50	0.14	13.00	65.26	61.50	71.36	0.54	0.15	12.00	67.14	61.97	72.77	0.62	0.15	12.00	69.01	62.44	76.53	0.65	0.16	11.00	75.00	67.79	78.85	0.64	0.16	11.00	73.08	65.87	78.85	0.85	0.17	10.00	78.37	71.63	85.10	0.80	0.16	10.00	77.40	70.19	82.69	0.81	0.16	10.00	77.40	70.67	82.69	0.84	0.16	10.00	77.88	71.63	83.65
