name	time	Democracy index (EIU)	Electoral pluralism index (EIU)	Government index (EIU)	Political participation index(EIU)	Political culture index (EIU)	Civil liberties index (EIU)
Africa	2006	41,91	39,34	33,05	37,80	55,04	44,28
Africa	2007	41,73	38,56	34,20	37,74	53,28	44,89
Africa	2008	41,56	37,79	35,36	37,67	51,51	45,49
Africa	2009	40,58	35,96	35,21	37,41	49,75	44,57
Africa	2010	39,60	34,13	35,05	37,17	47,99	43,66
Africa	2011	41,66	39,15	35,20	41,14	48,67	44,16
Africa	2012	42,22	40,07	35,91	42,35	48,57	44,22
Africa	2013	41,68	39,23	33,70	44,59	47,80	43,11
Africa	2014	41,27	38,72	33,32	44,35	47,23	42,69
Africa	2015	43,15	40,20	36,27	44,43	51,76	43,12
Africa	2016	42,59	39,91	36,65	44,21	50,57	41,60
Africa	2017	41,77	40,73	36,22	43,25	48,97	39,73
Africa	2018	41,59	40,53	36,36	43,61	47,87	39,62
Africa	2019	40,46	36,51	34,59	44,68	47,67	38,88
Africa	2020	39,54	34,62	32,61	45,49	48,89	36,13
Asia	2006	52,49	49,05	59,73	40,43	59,28	53,93
Asia	2007	52,92	49,65	60,45	40,76	59,61	54,15
Asia	2008	53,35	50,25	61,17	41,09	59,95	54,37
Asia	2009	52,77	50,08	62,10	41,64	55,44	54,58
Asia	2010	52,17	49,91	63,04	42,16	50,92	54,78
Asia	2011	52,22	49,97	59,59	44,32	52,52	54,68
Asia	2012	52,68	50,41	58,34	48,46	50,25	55,96
Asia	2013	53,38	50,75	57,21	51,19	52,17	55,50
Asia	2014	54,20	50,72	56,72	53,24	54,34	55,96
Asia	2015	54,14	51,06	56,98	51,75	56,22	54,62
Asia	2016	54,34	51,30	57,98	52,01	56,16	54,25
Asia	2017	51,76	49,56	57,22	49,80	55,66	46,61
Asia	2018	52,58	49,71	57,11	54,00	55,61	46,55
Asia	2019	48,47	49,63	55,22	50,34	43,44	43,74
Asia	2020	47,96	50,04	57,01	49,52	43,55	39,84
Europe	2006	70,86	86,98	63,01	61,74	63,01	79,62
Europe	2007	70,50	84,76	62,52	62,45	64,19	78,61
Europe	2008	70,03	83,12	61,64	62,76	64,94	77,78
Europe	2009	68,97	83,01	62,25	60,53	62,63	76,49
Europe	2010	67,91	82,89	62,87	58,30	60,31	75,19
Europe	2011	66,88	80,05	61,58	57,96	59,91	75,00
Europe	2012	66,73	80,08	61,33	59,79	58,86	73,66
Europe	2013	66,33	79,14	59,67	61,50	58,80	72,70
Europe	2014	66,10	76,65	59,65	63,25	59,57	71,41
Europe	2015	65,87	75,75	59,59	63,96	59,43	70,56
Europe	2016	65,25	74,50	59,70	63,74	58,59	69,65
Europe	2017	64,42	72,52	58,67	64,29	57,52	69,17
Europe	2018	63,24	71,50	57,70	64,95	55,71	66,39
Europe	2019	63,53	70,19	57,98	64,99	56,89	67,67
Europe	2020	64,12	70,44	57,86	65,67	60,96	65,71
The Americas	2006	68,59	88,92	64,96	48,69	53,35	87,14
The Americas	2007	68,85	88,20	66,63	48,76	53,44	87,34
The Americas	2008	69,12	87,48	68,30	48,83	53,53	87,53
The Americas	2009	68,8	88,2	68,5	50,2	51,7	85,7
The Americas	2010	68,5	88,8	68,6	51,6	49,9	83,8
The Americas	2011	68,6	88,8	68,9	51,9	49,7	83,7
The Americas	2012	68,5	87,9	68,9	53,1	49,6	82,9
The Americas	2013	68,6	88,8	68,0	52,9	50,1	83,3
The Americas	2014	69,0	87,9	66,4	51,0	56,1	83,3
The Americas	2015	67,6	88,2	63,6	57,1	47,4	81,7
The Americas	2016	67,2	87,4	63,9	57,4	47,4	79,9
The Americas	2017	66,8	87,1	59,3	59,5	52,6	75,4
The Americas	2018	67,0	88,2	58,3	62,3	50,7	75,7
The Americas	2019	66,3	85,8	57,9	61,0	51,0	75,9
The Americas	2020	66,2	85,8	55,9	65,1	51,6	72,5
