country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,0.817,0.819,0.823,0.829,0.834,0.838,0.838,0.840,0.843,0.847,0.849,0.854,0.856,0.863
BOL,0.669,0.667,0.678,0.683,0.689,0.692,0.697,0.707,0.712,0.718,0.722,0.733,0.737,0.742
BRA,0.688,0.690,0.704,0.707,0.715,0.719,0.724,0.748,0.753,0.757,0.762,0.767,0.768,0.773
CHL,0.800,0.816,0.826,0.840,0.808,0.821,0.827,0.832,0.846,0.852,0.857,0.861,0.862,0.866
COL,0.695,0.712,0.721,0.724,0.735,0.739,0.744,0.746,0.759,0.760,0.767,0.771,0.772,0.775
CRA,0.745,0.751,0.760,0.766,0.767,0.784,0.790,0.795,0.807,0.806,0.810,0.813,0.818,0.820
CUB,0.833,0.853,0.866,0.868,0.860,0.854,0.834,0.827,0.827,0.831,0.832,0.837,0.841,0.846
RDM,0.681,0.685,0.689,0.692,0.697,0.701,0.705,0.709,0.723,0.731,0.734,0.737,0.740,0.744
ECU,0.708,0.722,0.728,0.731,0.740,0.744,0.770,0.773,0.773,0.787,0.781,0.785,0.787,0.785
SLV,0.659,0.657,0.660,0.663,0.680,0.672,0.677,0.678,0.675,0.673,0.677,0.676,0.672,0.675
GUA,0.557,0.568,0.575,0.581,0.588,0.595,0.601,0.605,0.644,0.648,0.649,0.650,0.652,0.658
HND,0.611,0.619,0.612,0.619,0.625,0.629,0.626,0.628,0.632,0.634,0.644,0.647,0.651,0.651
MEX,0.726,0.727,0.730,0.735,0.733,0.741,0.746,0.742,0.747,0.754,0.756,0.759,0.766,0.772
NIC,0.623,0.629,0.636,0.642,0.648,0.652,0.657,0.662,0.674,0.677,0.683,0.686,0.687,0.693
PAN,0.755,0.758,0.759,0.761,0.762,0.762,0.767,0.771,0.777,0.778,0.786,0.790,0.791,0.794
PAR,0.674,0.675,0.684,0.682,0.697,0.701,0.703,0.715,0.717,0.724,0.723,0.726,0.727,0.730
PER,0.721,0.727,0.735,0.739,0.739,0.756,0.763,0.770,0.784,0.780,0.787,0.790,0.795,0.804
URY,0.773,0.770,0.773,0.780,0.786,0.792,0.798,0.804,0.808,0.810,0.816,0.821,0.824,0.826
VEN,0.705,0.724,0.735,0.738,0.742,0.759,0.760,0.768,0.767,0.765,0.763,0.750,0.749,0.749
AL,0.707,0.713,0.721,0.725,0.727,0.734,0.737,0.748,0.753,0.756,0.762,0.764,0.766,0.772
WORLD,0.653,0.659,0.667,0.672,0.679,0.685,0.691,0.697,0.703,0.707,0.712,0.714,0.716,0.719
