country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,20124,21867,22551,20877,22727,23947,23516,23852,23048,23466,22697,22962,21918,21190
BOL,5703,5847,6133,6199,6301,6481,6608,6937,7314,7718,8057,8186,8445,8554
BRA,12602,13280,13774,13649,14409,14921,15083,15579,15450,14775,14139,14248,14182,14263
CHL,16585,17399,18659,18342,19074,20264,21468,22056,22501,22949,23003,22685,23222,23261
COL,10427,10946,11114,11160,11461,12050,12469,13032,13564,14038,14186,14055,14085,14257
CRA,13870,14854,15447,14887,15426,15876,16481,16567,16863,17238,17783,18161,18371,18486
CUB,6211,6636,6911,6953,7151,7395,7618,7823,7879,8218,8242,8388,8578,8621
RDM,10549,11176,11558,11520,12330,12531,12709,13069,13816,14697,15464,15942,16927,17591
ECU,9386,9427,10015,9945,10187,10808,11263,11647,11892,11693,11346,11360,11256,11044
SLV,6937,7041,7239,6985,7123,7355,7447,7541,7635,7765,7879,7984,8141,8359
GUA,6820,7093,7211,7081,7143,7267,7423,7557,7735,7932,8029,8143,8274,8494
HND,4506,4754,4829,4583,4611,4687,4731,4763,4776,4925,5021,5222,5241,5308
MEX,18059,18172,18159,16900,17601,17918,18259,18087,18468,18817,19101,19300,19476,19160
NIC,4309,4491,4582,4344,4487,4710,4940,5117,5308,5479,5655,5845,5565,5284
PAN,16180,18085,19499,19497,19719,22139,23561,24841,24975,26607,27195,28614,29173,29558
PAR,7965,8675,9220,9035,9905,10324,10044,10777,11188,11371,11668,12205,12420,12224
PER,7385,7971,8722,8806,9317,9797,10449,11113,11339,11706,11900,11931,12155,12252
URY,13678,14546,15423,15977,17079,17969,17773,18924,19262,19679,19844,20056,20091,20064
VEN,18116,19727,20306,19181,18544,18770,19482,19360,18833,17214,14528,12436,10380,7045
AL,13211,13825,14215,13737,14347,14841,15108,15407,15461,15376,15082,15100,15010,14812
WORLD,12847,13366,13548,13300,13797,14132,14439,14686,15005,15308,15592,16096,16454,16734
